client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,precision_per_class,recall_per_class,confusion_matrix_counts,confusion_matrix_normalized,confusion_matrix_class_names,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size,macro_f1_global,macro_f1_personalized,benign_fpr_global,benign_fpr_personalized,personalization_gain,dp_epsilon,dp_delta,dp_sigma,dp_clip_norm,dp_sample_rate,dp_total_steps,dp_enabled,secure_aggregation,secure_aggregation_seed,secure_aggregation_mask_checksum
2,1,19972,2,0.6614636419311403,0.7016270337922403,0.010940885651738399,0.9994993742177722,0.4211034584705395,0.9994047253630802,0.9994047253630802,0.0,"{""0"": 0.9991673605328892, ""1"": 0.9996420901932713}","{""0"": 0.9983361064891847, ""1"": 1.0}","{""0"": 1.0, ""1"": 0.9992844364937388}","[[1200.0, 0.0], [2.0, 2793.0]]","[[1.0, 0.0], [0.0007155635062611807, 0.9992844364937388]]","[""0"", ""1""]",0.09833333333333333,0.9998928448132854,0.015739381313323975,0.9791484142281409,0.09833333333333333,0.015739381313323975,,5.75456738865811,6.697968547735924,3.0273122994034565,302.7312426247761,2423.129124988918,1,0.01,64,,,,,,,,,,,,False,False,,
2,2,19972,2,0.03416647395444295,0.9994993742177722,0.011539895102263444,0.9969962453066333,0.9994047253630802,0.9964163911309493,0.9964163911309493,0.010000000000000009,"{""0"": 0.9949748743718593, ""1"": 0.9978579078900393}","{""0"": 1.0, ""1"": 0.995724973281083}","{""0"": 0.99, ""1"": 1.0}","[[1188.0, 12.0], [0.0, 2795.0]]","[[0.99, 0.01], [0.0, 1.0]]","[""0"", ""1""]",0.10583333333333333,0.9999957825983081,0.060054659843444824,0.9777855518628651,0.10583333333333333,0.060054659843444824,,6.477790388763874,7.0039507003635295,1.4196704873337118,141.96705145116823,1245.1846250041854,1,0.01,64,,,,,,,,,,,,False,False,,
2,3,19972,2,0.0018370916811926733,1.0,0.004064670748664953,0.9992490613266584,1.0,0.9991068759818496,0.9991068759818496,0.0008333333333333526,"{""0"": 0.9987505206164098, ""1"": 0.9994632313472893}","{""0"": 0.9983347210657785, ""1"": 0.9996420901932713}","{""0"": 0.9991666666666666, ""1"": 0.9992844364937388}","[[1199.0, 1.0], [2.0, 2793.0]]","[[0.9991666666666666, 0.0008333333333333334], [0.0007155635062611807, 0.9992844364937388]]","[""0"", ""1""]",0.09666666666666666,0.9999437104681584,0.0012004375457763672,0.9794916739702015,0.09666666666666666,0.0012004375457763672,,6.9058396471162435,7.300367729263984,1.427316778559759,142.73168118257186,1834.8307910055155,1,0.01,64,,,,,,,,,,,,False,False,,
2,4,19972,2,0.0012249920419269494,0.9997496871088861,0.00036686369068255383,1.0,0.9997022919939498,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","[[1200.0, 0.0], [0.0, 2795.0]]","[[1.0, 0.0], [0.0, 1.0]]","[""0"", ""1""]",0.10833333333333334,1.0,0.0003237724304199219,0.9772727272727273,0.10833333333333334,0.0003237724304199219,,7.1738602937153155,7.322710623476195,0.5901492904211358,59.014932245092645,1433.6726660112618,1,0.01,64,,,,,,,,,,,,False,False,,
2,5,19972,2,0.00037743775511256584,1.0,0.0001230348835446103,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","[[1200.0, 0.0], [0.0, 2795.0]]","[[1.0, 0.0], [0.0, 1.0]]","[""0"", ""1""]",0.11583333333333333,1.0,0.0001690387725830078,0.9757374759993018,0.11583333333333333,0.0001690387725830078,,7.369548558387521,7.416884575779506,0.1849744863424646,18.497448595449637,1301.0794169967994,1,0.01,64,,,,,,,,,,,,False,False,,
2,6,19972,2,0.0001612930234784024,1.0,8.938702520690784e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","[[1200.0, 0.0], [0.0, 2795.0]]","[[1.0, 0.0], [0.0, 1.0]]","[""0"", ""1""]",0.08666666666666667,1.0,0.0002104640007019043,0.9817351598173516,0.08666666666666667,0.0002104640007019043,,7.455235055616442,7.488426257462211,0.1582795659600747,15.827956751374506,2051.485625008354,1,0.01,64,,,,,,,,,,,,False,False,,
2,7,19972,2,0.00011727645918625288,1.0,0.015591102862908017,0.9954943679599499,1.0,0.9946399821109124,0.9946399821109124,0.007499999999999951,"{""0"": 0.9925, ""1"": 0.9967799642218247}","{""0"": 0.9925, ""1"": 0.9967799642218247}","{""0"": 0.9925, ""1"": 0.9967799642218247}","[[1191.0, 9.0], [9.0, 2786.0]]","[[0.9925, 0.0075], [0.0032200357781753132, 0.9967799642218247]]","[""0"", ""1""]",0.1075,0.9998807618012029,0.009402096271514893,0.9770858842050026,0.1075,0.009402096271514893,,7.5626190306472205,8.217122822152653,2.4383651446227947,243.83652193570748,2030.2901670074789,1,0.01,64,,,,,,,,,,,,False,False,,
2,8,19972,2,0.0002747482395202424,1.0,0.00425901923594326,0.9989987484355445,1.0,0.9988083178519057,0.9988083178519057,0.0024999999999999467,"{""0"": 0.9983319432860718, ""1"": 0.9992846924177397}","{""0"": 0.9991652754590985, ""1"": 0.9989274222381123}","{""0"": 0.9975, ""1"": 0.9996422182468694}","[[1197.0, 3.0], [1.0, 2794.0]]","[[0.9975, 0.0025], [0.00035778175313059033, 0.9996422182468694]]","[""0"", ""1""]",0.09916666666666667,0.99946581414858,4.780292510986328e-05,0.9791557190401121,0.09916666666666667,4.780292510986328e-05,,7.726270960166602,7.846774576511876,0.7503478712843853,75.03478750416002,1488.2056659989757,1,0.01,64,,,,,,,,,,,,False,False,,
2,9,19972,2,0.00017082567429165392,1.0,8.201317838924412e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","[[1200.0, 0.0], [0.0, 2795.0]]","[[1.0, 0.0], [0.0, 1.0]]","[""0"", ""1""]",0.10916666666666666,0.9999999999999999,9.393692016601562e-05,0.9771019052613179,0.10916666666666666,9.393692016601562e-05,,7.87365718883011,7.887155183975826,0.06084754340678958,6.08475455013851,1188.7037919950671,1,0.01,64,,,,,,,,,,,,False,False,,
2,10,19972,2,9.514869793386583e-05,1.0,6.342723134453298e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","[[1200.0, 0.0], [0.0, 2795.0]]","[[1.0, 0.0], [0.0, 1.0]]","[""0"", ""1""]",0.09333333333333334,1.0,0.00010585784912109375,0.9803577692037881,0.09333333333333334,0.00010585784912109375,,7.992856531979232,8.036825638035038,0.6179866505348817,61.79866656420361,1378.3954160026042,1,0.01,64,,,,,,,,,,,,False,False,,
