aggregation_method,macro_f1_mean,macro_f1_std,n_seeds
fedavg,0.7711555946246589,0.027047838315392397,5
krum,0.7735310817114965,0.01320875989802032,5
bulyan,0.7728729988740599,0.01370096363681316,5
median,0.7759247847997928,0.025075687473518182,5
