aggregator,mean,std,n,fedavg_p,fedavg_d,bulyan_p,bulyan_d
fedavg,0.5224317847372505,0.025788309764095466,5,-,-,0.0557,-1.415
bulyan,0.5545400390248496,0.019113328388183817,5,0.0557,1.415,-,-
