condition,agg1,agg2,mean1,mean2,mean_diff,p_value,cohens_d,effect_size,significant
"alpha=0.05, adv_pct=0",fedavg,bulyan,0.3560623886708316,0.5393721288764906,-0.18330974020565893,9.216037361131715e-06,-4.083174567516993,large,True
"alpha=0.1, adv_pct=0",fedavg,bulyan,0.4575523655659457,0.5400910751238933,-0.08253870955794762,0.036273234810061936,-1.7332362927430878,large,True
"alpha=0.2, adv_pct=0",fedavg,bulyan,0.5224317847372505,0.5545400390248496,-0.032108254287599114,0.055711450204600776,-1.4146141187126777,large,False
"alpha=1.0, adv_pct=0",fedavg,bulyan,0.7262565759955047,0.7230898520574115,0.003166723938093252,0.6583061918523555,0.16322515059852075,negligible,False
