aggregator,mean,std,n,fedavg_p,fedavg_d,bulyan_p,bulyan_d
fedavg,0.7262565759955047,0.013929837031241926,15,-,-,0.6583,0.163
bulyan,0.7230898520574115,0.02363797400343709,15,0.6583,-0.163,-,-
