aggregator,mean,std,n,fedavg_p,fedavg_d,bulyan_p,bulyan_d
fedavg,0.3560623886708316,0.046134806827401655,9,-,-,0.0000***,-4.083
bulyan,0.5393721288764906,0.04230311090831779,5,0.0000***,4.083,-,-
