aggregator,mean,std,n,fedavg_p,fedavg_d,bulyan_p,bulyan_d
fedavg,0.4575523655659457,0.06984474195011817,4,-,-,0.0363***,-1.733
bulyan,0.5400910751238933,0.01760365817655802,5,0.0363***,1.733,-,-
