epsilon,macro_f1_mean,ci_lower,ci_upper,n,dp_noise_multiplier,is_baseline
9.209958991683898,0.8969460763234847,0.8969460763234847,0.8969460763234847,1,1.5,0
12.301691480042896,0.21361594553320615,-0.20098604203219664,0.628217933098609,5,2.0,0
16.51287594668254,0.8336742740993376,0.8336742740993376,0.8336742740993376,1,1.5,0
17.6647086427425,0.6085895828504336,-0.5285550500305435,1.7457342157314106,3,1.5,0
30.12663110385034,0.7484252233869644,0.3235236112611927,1.173326835512736,5,1.0,0
49.49557037588816,0.47787919046405625,-0.012850960679176404,0.968609341607289,5,0.7,0
81.116308425056,0.8218700188660313,0.46688592242175925,1.1768541153103034,5,0.5,0
180.4799780439935,0.8071235385711504,0.510404058331337,1.1038430188109638,5,0.3,0
1211.7782575788603,0.947367869381252,0.8093996589788846,1.0853360797836193,5,0.1,0
,0.7987529332966201,0.6582878911665566,0.9392179754266836,5,,1
