aggregation_method,macro_f1_mean,macro_f1_std,n_seeds
fedavg,0.7959787961061835,0.10227133793377803,5
krum,0.810546471051443,0.05477604023782272,5
bulyan,0.6595357532696181,0.1226573778088548,5
median,0.7366655727713315,0.08556963159846727,5
