client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,f1_per_class_after,fpr_after,pr_auc_after,threshold_tau,seed,weight_norm_before,weight_norm_after,weight_update_norm,t_fit_ms,epochs_completed,lr,batch_size
1,1,654,1,0.6939913431803385,0.7938931297709924,0.0006611601274926215,1.0,0.4425531914893617,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,5.742919168114253,7.171528858254845,4.182901330043112,1506.8217499992898,1,0.01,64
1,2,654,1,1.891087571779887,0.4351145038167939,0.00011107302998425439,1.0,0.30319148936170215,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,7.9359335686602,8.912273929221266,3.588461934129762,31.236500000886736,1,0.01,64
1,3,654,1,0.16123192260662714,0.9465648854961832,1.380778636909478e-05,1.0,0.48627450980392156,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,8.586208417764416,9.382276726591847,3.506726152756595,37.785083000926534,1,0.01,64
1,4,654,1,0.005533873879661162,1.0,6.208816497969376e-09,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,10.191408323665714,10.816351106543753,2.99033733555998,32.12850000090839,1,0.01,64
1,5,654,1,0.007196133413041632,1.0,1.5397835066247959e-07,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,11.747653803825441,12.289893760019236,2.8971398610088106,45.28716700042423,1,0.01,64
1,6,654,1,8.922914033367609e-05,1.0,6.208816794028849e-10,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,13.592226856774168,14.10235432200759,2.64150465701148,29.208583999206894,1,0.01,64
1,7,654,1,0.002098993087808291,1.0,1.262452933303848e-07,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,15.061991043662802,15.535223175155979,2.9851460871240194,28.42041599978984,1,0.01,64
1,8,654,1,5.4366840534688286e-05,1.0,1.8626448531714839e-09,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,16.1136175476584,16.537438541757332,2.5654660373177425,33.078624999689055,1,0.01,64
1,9,654,1,9.999870902296001e-06,1.0,0.0,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,17.219395161785805,17.536242176302693,2.093202987872072,30.897250000634813,1,0.01,64
1,10,654,1,0.00170666192813466,1.0,1.8626450382086546e-09,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 0.0}",0.0,0.0,0.5,,18.173754427707642,18.535765099851197,2.7429362708683804,31.717958001536317,1,0.01,64
