client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,weight_norm_before,weight_norm_after,weight_update_norm,t_fit_ms,epochs_completed,lr,batch_size
1,1,886,1,0.6795185407002767,0.7808988764044944,0.598585327466329,0.9719101123595506,5.742919168114253,5.744359530752963,0.0987721002020044,1041.2617499969201,1,0.01,64
1,2,886,1,0.9039392272631327,0.0,0.7767241597175598,0.0056179775280898875,5.755837682185411,5.751520945661347,0.12359404338335862,33.523750011227094,1,0.01,64
1,3,886,1,1.0966415007909138,0.0,0.9179742932319641,0.0,5.777868240618232,5.7682251888603,0.1464011097729768,29.778666998026893,1,0.01,64
1,4,886,1,1.2479221423467,0.0,1.0176210800806682,0.0,5.801580200661457,5.7870821757454705,0.1674133075235816,30.523541994625703,1,0.01,64
1,5,886,1,1.351245919863383,0.0,1.0808808008829753,0.0,5.823283946226462,5.806678909139624,0.180074334337425,29.68249999685213,1,0.01,64
1,1,886,1,0.6795185407002767,0.7808988764044944,6.771873756861169e-06,1.0,5.742919168114253,7.714418329991682,5.033301769558541,1217.6689580082893,1,0.01,64
1,2,886,1,0.014377185919632515,0.9943820224719101,4.5274541093931475e-07,1.0,10.432050966863969,10.852554572890783,3.4178912138999977,43.750625001848675,1,0.01,64
1,3,886,1,0.0027147459380406267,1.0,2.048908302280476e-08,1.0,13.824331420138561,14.04966129755598,2.9660989081284095,49.397999988286756,1,0.01,64
1,4,886,1,0.00654557404418199,0.9943820224719101,0.0,1.0,16.382430640851616,16.61766132141924,2.1219363962499074,36.373250011820346,1,0.01,64
1,5,886,1,1.1907858813960578e-05,1.0,0.0,1.0,18.305358482042728,18.506687453169828,1.9001921107041413,39.45999999996275,1,0.01,64
1,1,2000,2,0.6763170531817845,0.63,0.054807946331233585,0.98,5.812872900652865,8.24040434088582,5.397858569411915,945.6198339903494,1,0.01,64
1,2,2000,2,0.054807946331233585,0.98,0.04477947762435568,0.9775,8.24040434088582,8.410237072956265,1.9401430151852803,98.07637499761768,1,0.01,64
1,1,2000,2,0.6763170531817845,0.63,0.054807946331233585,0.98,5.812872900652865,8.24040434088582,5.397858569411915,742.5487500004238,1,0.01,64
1,2,2000,2,0.054807946331233585,0.98,0.04477947762435568,0.9775,8.24040434088582,8.410237072956265,1.9401430151852803,100.06587499810848,1,0.01,64
