client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,precision_per_class,recall_per_class,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size,macro_f1_global,macro_f1_personalized,benign_fpr_global,benign_fpr_personalized,personalization_gain,dp_epsilon,dp_delta,dp_sigma,dp_clip_norm
6,1,1000,2,0.13663346506655216,0.965,0.08071596454828978,0.96,0.9649921232277263,0.96,0.96,0.040000000000000036,"{""0"": 0.96, ""1"": 0.96}","{""0"": 0.96, ""1"": 0.96}","{""0"": 0.96, ""1"": 0.96}",0.12,0.9935806079436408,0.07663017511367798,0.9433962264150944,0.12,0.07663017511367798,,6.573850834338226,7.263739401123156,0.0,0.5840450526217059,2086.449381999955,1,0.01,64,,,,,,,,,
6,2,1000,2,0.07739390840288252,0.965,0.07957908253592905,0.96,0.9649991249781245,0.96,0.96,0.040000000000000036,"{""0"": 0.96, ""1"": 0.96}","{""0"": 0.96, ""1"": 0.96}","{""0"": 0.96, ""1"": 0.96}",0.11,0.9953284938732206,0.17344248294830322,0.9326923076923077,0.11,0.17344248294830322,,7.2285121631949005,7.67386164066863,0.0,0.57939431215461,92.49580499999865,1,0.01,64,,,,,,,,,
6,3,1000,2,0.07146032483433373,0.965,0.08695998915936798,0.95,0.9649991249781245,0.9499949994999499,0.9499949994999499,0.06000000000000005,"{""0"": 0.9494949494949495, ""1"": 0.9504950495049505}","{""0"": 0.9591836734693877, ""1"": 0.9411764705882353}","{""0"": 0.94, ""1"": 0.96}",0.07,0.9954394951332445,0.24579930305480957,0.9611650485436893,0.07,0.24579930305480957,,7.627640053760822,7.859835250331966,0.0,0.5100869206402936,76.50747500008492,1,0.01,64,,,,,,,,,
6,4,1000,2,0.08665384005871601,0.96,0.08439597328288073,0.97,0.95999599959996,0.96999699969997,0.96999699969997,0.020000000000000018,"{""0"": 0.9702970297029703, ""1"": 0.9696969696969697}","{""0"": 0.9607843137254902, ""1"": 0.9795918367346939}","{""0"": 0.98, ""1"": 0.96}",0.08,0.9959550406742581,0.04848194122314453,0.9514563106796117,0.08,0.04848194122314453,,7.851382660822661,8.259024196424651,0.0,0.4041735882222974,106.97412699994402,1,0.01,64,,,,,,,,,
6,5,1000,2,0.07531556301728415,0.97,0.09382069684670569,0.98,0.96999699969997,0.9799979997999799,0.9799979997999799,0.010000000000000009,"{""0"": 0.9801980198019802, ""1"": 0.9797979797979798}","{""0"": 0.9705882352941176, ""1"": 0.9897959183673469}","{""0"": 0.99, ""1"": 0.97}",0.09,0.9960168031926818,0.0031991004943847656,0.9519230769230769,0.09,0.0031991004943847656,,8.232535404732532,8.63821500661761,0.0,0.4736912864895382,38.568045000033635,1,0.01,64,,,,,,,,,
6,6,1000,2,0.09102337511762926,0.98,0.10435222869264749,0.965,0.9799979997999799,0.9649991249781245,0.9649991249781245,0.040000000000000036,"{""0"": 0.964824120603015, ""1"": 0.9651741293532339}","{""0"": 0.9696969696969697, ""1"": 0.9603960396039604}","{""0"": 0.96, ""1"": 0.97}",0.17,0.9957884641705903,0.005586683750152588,0.9216589861751152,0.17,0.005586683750152588,,8.597626771079087,8.923607212554181,0.0,0.314839068515948,75.70562199998676,1,0.01,64,,,,,,,,,
6,7,1000,2,0.10095735875056278,0.965,0.15236200472645578,0.955,0.9649991249781245,0.9549898727213624,0.9549898727213624,0.06000000000000005,"{""0"": 0.9543147208121827, ""1"": 0.9556650246305419}","{""0"": 0.9690721649484536, ""1"": 0.941747572815534}","{""0"": 0.94, ""1"": 0.97}",0.08,0.9936509391138771,0.4681606888771057,0.9463414634146341,0.08,0.4681606888771057,,8.892815556860745,9.126948391729263,0.0,0.3244874985989919,80.92907200000354,1,0.01,64,,,,,,,,,
6,8,1000,2,0.13809388789252353,0.965,0.12320044258231633,0.975,0.9649991249781245,0.9749993749843746,0.9749993749843746,0.020000000000000018,"{""0"": 0.9751243781094527, ""1"": 0.9748743718592965}","{""0"": 0.9702970297029703, ""1"": 0.9797979797979798}","{""0"": 0.98, ""1"": 0.97}",0.05,0.99544880845349,0.19640380144119263,0.9603960396039604,0.05,0.19640380144119263,,9.13043405230725,9.289269620422644,0.0,0.3332519378902687,51.57194699995671,1,0.01,64,,,,,,,,,
6,9,1000,2,0.12330375773231594,0.975,0.16528593352983023,0.95,0.9749993749843746,0.9499799919967987,0.9499799919967987,0.06999999999999995,"{""0"": 0.9489795918367347, ""1"": 0.9509803921568627}","{""0"": 0.96875, ""1"": 0.9326923076923077}","{""0"": 0.93, ""1"": 0.97}",0.17,0.9937950241726192,0.0017113089561462402,0.9116279069767442,0.17,0.0017113089561462402,,9.272060905282462,9.485051926071034,0.0,0.20287440361351192,76.02728899996691,1,0.01,64,,,,,,,,,
6,10,1000,2,0.1575028448131306,0.955,0.18140344606887027,0.955,0.9549898727213624,0.9549898727213624,0.9549898727213624,0.06000000000000005,"{""0"": 0.9543147208121827, ""1"": 0.9556650246305419}","{""0"": 0.9690721649484536, ""1"": 0.941747572815534}","{""0"": 0.94, ""1"": 0.97}",0.09,0.9953630365029489,0.1072116494178772,0.941747572815534,0.09,0.1072116494178772,,9.479719831011256,9.671435590065775,0.0,0.34877085176570877,22.194071000058102,1,0.01,64,,,,,,,,,
6,11,1000,2,0.1771854643445323,0.955,0.15594333376065705,0.97,0.9549898727213624,0.97,0.97,0.030000000000000027,"{""0"": 0.97, ""1"": 0.97}","{""0"": 0.97, ""1"": 0.97}","{""0"": 0.97, ""1"": 0.97}",0.13,0.9956422721954046,0.000740349292755127,0.9339622641509434,0.13,0.000740349292755127,,9.65817632922167,9.758289495771313,0.0,0.09358390573400314,84.2645170000651,1,0.01,64,,,,,,,,,
6,12,1000,2,0.1493732682283726,0.97,0.15041005228886206,0.97,0.97,0.97,0.97,0.030000000000000027,"{""0"": 0.97, ""1"": 0.97}","{""0"": 0.97, ""1"": 0.97}","{""0"": 0.97, ""1"": 0.97}",0.1,0.9970345396365845,0.00017338991165161133,0.9473684210526315,0.1,0.00017338991165161133,,9.763257935325134,9.878738629286795,0.0,0.020460309846230713,36.2191830000711,1,0.01,64,,,,,,,,,
6,13,1000,2,0.1514213838017895,0.975,0.1832527918154483,0.965,0.9749993749843746,0.9649991249781245,0.9649991249781245,0.040000000000000036,"{""0"": 0.964824120603015, ""1"": 0.9651741293532339}","{""0"": 0.9696969696969697, ""1"": 0.9603960396039604}","{""0"": 0.96, ""1"": 0.97}",0.06,0.9954054712978894,0.012361288070678711,0.9556650246305419,0.06,0.012361288070678711,,9.870758517973139,9.903612194230677,0.0,0.012438370461399291,68.7100619999228,1,0.01,64,,,,,,,,,
6,14,1000,2,0.17205072881961314,0.97,0.16033320222049952,0.98,0.97,0.9799979997999799,0.9799979997999799,0.010000000000000009,"{""0"": 0.9801980198019802, ""1"": 0.9797979797979798}","{""0"": 0.9705882352941176, ""1"": 0.9897959183673469}","{""0"": 0.99, ""1"": 0.97}",0.12,0.9950711224257806,0.0004082322120666504,0.9383886255924171,0.12,0.0004082322120666504,,9.917742552700066,9.939471807366727,0.0,0.08271736624683916,37.56785600000967,1,0.01,64,,,,,,,,,
6,15,1000,2,0.16229555805330165,0.98,0.17045811181742465,0.975,0.9799979997999799,0.9749993749843746,0.9749993749843746,0.020000000000000018,"{""0"": 0.9751243781094527, ""1"": 0.9748743718592965}","{""0"": 0.9702970297029703, ""1"": 0.9797979797979798}","{""0"": 0.98, ""1"": 0.97}",0.06,0.9950103971045339,0.02464395761489868,0.9556650246305419,0.06,0.02464395761489868,,9.960377613862892,10.022688769683903,0.0,0.03198014865215059,83.58821399997396,1,0.01,64,,,,,,,,,
6,16,1000,2,0.17775327503386507,0.975,0.18020846882154729,0.98,0.9749993749843746,0.9799979997999799,0.9799979997999799,0.010000000000000009,"{""0"": 0.9801980198019802, ""1"": 0.9797979797979798}","{""0"": 0.9705882352941176, ""1"": 0.9897959183673469}","{""0"": 0.99, ""1"": 0.97}",0.08,0.9946381390837908,0.0009860992431640625,0.9463414634146341,0.08,0.0009860992431640625,,10.043101436342356,10.0509504099405,0.0,0.004897171221204901,46.69152099995699,1,0.01,64,,,,,,,,,
6,17,1000,2,0.1790485103165338,0.975,0.24303327605230152,0.965,0.9749943737340903,0.9649921232277263,0.9649921232277263,0.020000000000000018,"{""0"": 0.9655172413793104, ""1"": 0.9644670050761421}","{""0"": 0.9514563106796117, ""1"": 0.979381443298969}","{""0"": 0.98, ""1"": 0.95}",0.08,0.9938582618679995,0.00013458728790283203,0.9463414634146341,0.08,0.00013458728790283203,,10.049840056327758,10.079901652869275,0.0,0.0367301563570492,80.25224100003925,1,0.01,64,,,,,,,,,
6,18,1000,2,0.24214561780809163,0.965,0.1995014429658113,0.97,0.9649921232277263,0.97,0.97,0.030000000000000027,"{""0"": 0.97, ""1"": 0.97}","{""0"": 0.97, ""1"": 0.97}","{""0"": 0.97, ""1"": 0.97}",0.07,0.9862018274074477,0.004235625267028809,0.9611650485436893,0.07,0.004235625267028809,,10.086322808089772,10.25346513689452,0.0,0.6210022110559877,107.49328999997942,1,0.01,64,,,,,,,,,
6,19,1000,2,0.19994833661394296,0.965,0.22204310182132758,0.96,0.9649991249781245,0.95999599959996,0.95999599959996,0.050000000000000044,"{""0"": 0.9595959595959596, ""1"": 0.9603960396039604}","{""0"": 0.9693877551020408, ""1"": 0.9509803921568627}","{""0"": 0.95, ""1"": 0.97}",0.08,0.984918098733613,0.01230686902999878,0.9514563106796117,0.08,0.01230686902999878,,10.241953347819061,10.269778985227253,0.0,0.05157399333007155,80.77282900001137,1,0.01,64,,,,,,,,,
