dataset,personalization_epochs,gain_mean,ci_lower,ci_upper,n_clients,pct_positive
cic,3,-0.0003895466673321894,-0.012491135940875494,0.011712042606211117,30,53.333333333333336
cic,5,0.004417787880033682,-0.008502887311343417,0.017338463071410782,30,46.666666666666664
edge-iiotset-nightly,1,-0.016210031922571318,-0.03084843926940381,-0.0015716245757388236,60,40.0
edge-iiotset-nightly,3,0.051363425890302364,0.03951581883379446,0.06321103294681027,116,77.58620689655173
edge-iiotset-nightly,5,0.05533438798492828,0.04104765044526962,0.06962112552458694,60,83.33333333333334
unsw,3,-0.003366747212427752,-0.008441642841874224,0.00170814841701872,25,12.0
unsw,5,-0.0003654439074931494,-0.0011773501802175529,0.00044646236523125405,29,20.689655172413794
