aggregation_method,macro_f1_mean,macro_f1_std,n_seeds
fedavg,0.6950361878622975,0.024257168869900744,10
krum,0.5962944798528224,0.07800413713652127,10
bulyan,0.6961569762968356,0.014877405329261177,10
median,0.6586925146476126,0.06249000470613408,10
