round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms
1,fedavg,2,,0.9945895924781201,0.9909764528274536,22.78704080249424,8.479397773742676,0.5908966064453125,0.8214170011342503,5665.503958000045
2,fedavg,5,,3.865075298837783,0.884940505027771,14.81632099769554,8.879744052886963,1.196903542875429,0.0742920001357561,1573.2380829995236
3,fedavg,5,,3.054499233794886,0.9488016963005066,13.386200352446794,9.758165168762208,1.1367467779922293,0.0898749985935865,403.01220800029114
4,fedavg,5,,2.5006229493659733,0.9742963314056396,17.276670733360444,10.886758995056152,0.9325745391064926,0.07887500032666139,334.19891700032167
5,fedavg,5,,2.296115804031446,0.9829429984092712,16.0159956621933,12.136810302734375,0.9276986730491499,0.08741700003156438,341.46291599972756
6,fedavg,5,,2.285026514867145,0.9864459037780762,19.228683746780533,13.30261688232422,0.896063464606968,0.07420800102408975,351.9809580011497
7,fedavg,5,,2.44905465172733,0.9864637851715088,17.012335637793143,14.447072792053223,0.865282201508996,0.09708300058264285,377.67054200048733
8,fedavg,5,,2.786616202918181,0.9861587285995483,24.101938457367496,15.710736083984376,1.0287446701704284,0.06458399911934976,324.7714579993044
9,fedavg,5,,2.1795497753584754,0.9922493100166321,21.892368171343364,17.0829797744751,0.8131908492244562,0.06845800089649856,339.1855840000062
10,fedavg,5,,2.0516029266228113,0.9937875270843506,25.003388911481633,18.052079010009766,0.6218962195726896,0.07383299998764414,314.68841700007033
