aggregation_method,macro_f1_mean,macro_f1_std,n_seeds
fedavg,0.7567367334497274,0.031419390116219366,5
krum,0.7612206063972679,0.02149112398668638,5
bulyan,0.6595357532696181,0.1226573778088548,5
median,0.6894013817371176,0.0915439408875535,5
