aggregation_method,macro_f1_mean,macro_f1_std,n_seeds
fedavg,0.7296720604916853,0.03442196074234283,5
krum,0.7620994425524669,0.10270096318491434,5
bulyan,0.7780922124534048,0.12455718124528405,5
median,0.830489536694526,0.027666356801859842,5
