client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size
7,1,1000,2,0.6730348914861679,0.675,0.035098893858958036,0.985,0.672040162466258,0.9849996249906248,0.9849996249906248,0.020000000000000018,"{""0"": 0.01990049751243781, ""1"": 0.9850746268656716}",0.03,0.9996029114676175,0.03172498941421509,0.9852216748768473,0.03,0.03172498941421509,,5.812872900652865,7.666492221620015,0.0,0.0,869.3414039999823,1,0.01,64
7,2,1000,2,0.035098893858958036,0.985,0.04012797915493138,0.985,0.9849996249906248,0.9849966242404541,0.9849966242404541,0.0,"{""0"": 0.0, ""1"": 0.9847715736040609}",0.02,0.9997039215686275,0.03303319215774536,0.9850746268656716,0.02,0.03303319215774536,,7.666492221620015,7.986577689902742,0.0,0.0,144.658469999996,1,0.01,64
7,3,1000,2,0.020882343058474362,0.99,0.015944620201480575,0.985,0.99,0.9849996249906248,0.9849996249906248,0.020000000000000018,"{""0"": 0.01990049751243781, ""1"": 0.9850746268656716}",0.01,0.9998039215686274,0.7988681793212891,0.99,0.01,0.7988681793212891,,7.784815131215745,8.150476500371626,0.0,0.0,217.09474200000045,1,0.01,64
7,4,1000,2,0.01905956570408307,0.995,0.0221369725745717,0.99,0.9949998749968749,0.99,0.99,0.010000000000000009,"{""0"": 0.01, ""1"": 0.99}",0.02,0.9998009900990099,0.11715173721313477,0.9900990099009901,0.02,0.11715173721313477,,8.301040808378188,8.764752015694558,0.0,0.0,377.5119709999899,1,0.01,64
7,5,1000,2,0.01563529762933058,0.99,0.003432007682135918,1.0,0.99,1.0,1.0,0.0,"{""0"": 0.0, ""1"": 1.0}",0.02,1.0,0.03027176856994629,0.9900990099009901,0.02,0.03027176856994629,,8.931341558060781,9.405362669593062,0.0,0.0,64.34869600002457,1,0.01,64
7,6,1000,2,0.019874243676788694,0.995,0.03215288418050477,0.985,0.9949998749968749,0.9849966242404541,0.9849966242404541,0.0,"{""0"": 0.0, ""1"": 0.9847715736040609}",0.02,0.9998009900990099,0.006437778472900391,0.9900990099009901,0.02,0.006437778472900391,,9.416001184765374,9.81302749224308,0.0,0.0,109.82016899998825,1,0.01,64
7,7,1000,2,0.04133711976419363,0.99,0.020702974754382097,0.99,0.9899989998999901,0.9899989998999901,0.9899989998999901,0.0,"{""0"": 0.0, ""1"": 0.98989898989899}",0.01,0.9999009900990099,0.06057864427566528,0.99,0.01,0.06057864427566528,,9.961602186484063,10.593394895421103,0.0,0.0,449.9852339999961,1,0.01,64
7,8,1000,2,0.05113916979425426,0.985,0.018577946531877387,0.99,0.9849996249906248,0.99,0.99,0.010000000000000009,"{""0"": 0.01, ""1"": 0.99}",0.01,0.9998039215686274,0.8077417612075806,0.99,0.01,0.8077417612075806,,10.460045532370268,11.319445790852141,0.0,0.0,197.833519999989,1,0.01,64
7,9,1000,2,0.019386372556255083,0.995,0.05173888753597544,0.99,0.9949998749968749,0.9899989998999901,0.9899989998999901,0.0,"{""0"": 0.0, ""1"": 0.98989898989899}",1.0,0.9996059017666472,0.0,0.6666666666666666,1.0,0.0,,10.987279947036205,11.312459322802901,0.0,0.0,301.80863199998953,1,0.01,64
7,10,1000,2,0.018521420017350465,0.99,0.029003044735873118,0.99,0.9899989998999901,0.99,0.99,0.010000000000000009,"{""0"": 0.01, ""1"": 0.99}",0.02,0.9997039215686274,0.03836846351623535,0.9850746268656716,0.02,0.03836846351623535,,11.23501427014439,11.374627633864353,0.0,0.0,79.79032499997629,1,0.01,64
7,11,1000,2,0.04236132829828421,0.985,0.058919709167128076,0.99,0.9849996249906248,0.9899989998999901,0.9899989998999901,0.0,"{""0"": 0.0, ""1"": 0.98989898989899}",1.0,0.9998039215686274,0.0,0.6666666666666666,1.0,0.0,,11.627237216310126,11.825662103749433,0.0,0.0,145.14719799998943,1,0.01,64
7,12,1000,2,0.07505154477848919,0.99,0.05369268686808937,0.995,0.9899989998999901,0.9949998749968749,0.9949998749968749,0.0,"{""0"": 0.0, ""1"": 0.9949748743718593}",1.0,0.9998039215686274,0.0,0.6666666666666666,1.0,0.0,,11.781794359411307,11.812081940209497,0.0,0.0,69.17943199999854,1,0.01,64
7,13,1000,2,0.05116263994750625,0.995,0.051137608624003406,0.995,0.9949998749968749,0.9949998749968749,0.9949998749968749,0.0,"{""0"": 0.0, ""1"": 0.9949748743718593}",1.0,0.9998039215686274,0.0,0.6666666666666666,1.0,0.0,,11.814892942610838,11.81600715034161,0.0,0.0,375.06924599998115,1,0.01,64
7,14,1000,2,0.051253192688704985,0.995,0.05122573515438944,0.995,0.9949998749968749,0.9949998749968749,0.9949998749968749,0.0,"{""0"": 0.0, ""1"": 0.9949748743718593}",1.0,0.9998039215686274,0.0,0.6666666666666666,1.0,0.0,,11.815916867171186,11.817080960045041,0.0,0.0,290.25973700001373,1,0.01,64
7,15,1000,2,0.05134131503552908,0.995,0.051396323087033124,0.995,0.9949998749968749,0.9949998749968749,0.9949998749968749,0.0,"{""0"": 0.0, ""1"": 0.9949748743718593}",1.0,0.9998039215686274,0.0,0.6666666666666666,1.0,0.0,,11.817075138470171,11.817792305086558,0.0,0.0,208.5359609999955,1,0.01,64
7,16,1000,2,0.05138175644287912,0.995,0.051327520764061774,0.995,0.9949998749968749,0.9949998749968749,0.9949998749968749,0.0,"{""0"": 0.0, ""1"": 0.9949748743718593}",0.02,0.9998039215686274,0.0003317594528198242,0.9850746268656716,0.02,0.0003317594528198242,,11.81779529572601,11.818876590547562,0.0,0.0,126.58670000001848,1,0.01,64
7,17,1000,2,0.05144434086139427,0.995,0.05152417104977758,0.995,0.9949998749968749,0.9949998749968749,0.9949998749968749,0.0,"{""0"": 0.0, ""1"": 0.9949748743718593}",1.0,0.9998039215686274,0.0,0.6666666666666666,1.0,0.0,,11.818597886366417,11.819460423058327,0.0,0.0,193.3477739999887,1,0.01,64
