client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size
2,1,17,2,0.6145379543304443,1.0,0.49305248260498047,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.6061798334121704,0.6666666666666666,0.0,0.6061798334121704,,5.761908665452764,5.8122385833710375,0.0,0.0,801.7589019999889,1,0.01,64
2,2,17,2,0.7676160335540771,0.0,0.6330379247665405,0.75,0.0,0.42857142857142855,0.42857142857142855,,"{""0"": 0.0, ""1"": 0.8571428571428571}",0.0,1.0,0.4972648024559021,1.0,0.0,0.4972648024559021,,5.8209539333624445,5.82444928868777,0.0,0.0,8.434227000009287,1,0.01,64
2,3,17,2,0.23340649902820587,1.0,0.0889965370297432,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9599255323410034,0.6666666666666666,0.0,0.9599255323410034,,6.186726249616094,6.211399541918936,0.0,0.0,8.45236000000682,1,0.01,64
2,4,17,2,0.022691108286380768,1.0,0.0060278563760221004,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9889096021652222,1.0,0.0,0.9889096021652222,,6.472972245753302,6.512872540786246,0.0,0.0,30.274242999979606,1,0.01,64
2,5,17,2,0.009257909841835499,1.0,0.0017596561228856444,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9996530413627625,0.4,0.0,0.9996530413627625,,6.657250424879926,6.695989867167756,0.0,0.0,32.492125000004535,1,0.01,64
2,6,17,2,0.003123608184978366,1.0,0.0006536924047395587,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9998788833618164,0.4,0.0,0.9998788833618164,,6.746732984119805,6.851657146900612,0.0,0.0,110.30202799997824,1,0.01,64
2,7,17,2,0.0016909268451854587,1.0,0.0003027097263839096,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.999958336353302,0.4,0.0,0.999958336353302,,6.8520290429050394,6.951825820975594,0.0,0.0,92.73029700000279,1,0.01,64
2,8,17,2,0.0008190290536731482,1.0,0.00014366213872563094,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999229311943054,0.6666666666666666,0.0,0.9999229311943054,,6.914035608487178,7.045185461736935,0.0,0.0,16.81667700000844,1,0.01,64
2,9,17,2,0.0005375042674131691,1.0,8.466331928502768e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9998470544815063,1.0,0.0,0.9998470544815063,,6.945757287397119,7.096232728648171,0.0,0.0,13.42171999999664,1,0.01,64
2,10,17,2,0.000391309178667143,1.0,5.876761133549735e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999670386314392,0.6666666666666666,0.0,0.9999670386314392,,7.004353513228579,7.138847819089622,0.0,0.0,107.7163559999974,1,0.01,64
2,11,17,2,0.000366344815120101,1.0,5.346317630028352e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999715089797974,0.6666666666666666,0.0,0.9999715089797974,,7.024506782419378,7.160563963558106,0.0,0.0,5.565307000011899,1,0.01,64
2,12,17,2,0.00031138909980654716,1.0,4.348012589616701e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999458193778992,0.8571428571428571,0.0,0.9999458193778992,,7.048304555531751,7.185771819894451,0.0,0.0,137.04854499999897,1,0.01,64
2,13,17,2,0.00021213205764070153,1.0,2.941428465419449e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999823570251465,0.6666666666666666,0.0,0.9999823570251465,,7.069963904475648,7.215231985170556,0.0,0.0,14.955184000001509,1,0.01,64
2,14,17,2,0.0002135165996151045,1.0,4.3538624595385045e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999774694442749,0.8571428571428571,0.0,0.9999774694442749,,7.105526283224172,7.19919891064912,0.0,0.0,97.97670700001504,1,0.01,64
2,15,17,2,0.00019129851716570556,1.0,3.5880460927728564e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9999966025352478,0.4,0.0,0.9999966025352478,,7.1326115706305275,7.252652504153202,0.0,0.0,11.675990000014735,1,0.01,64
2,16,17,2,0.0002058348327409476,1.0,3.936692883144133e-05,1.0,1.0,1.0,1.0,,"{""0"": 0.0, ""1"": 1.0}",0.0,1.0,0.9998781681060791,1.0,0.0,0.9998781681060791,,7.153296247318135,7.253726858407471,0.0,0.0,17.240746999988232,1,0.01,64
