client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,weight_norm_before,weight_norm_after,weight_update_norm,t_fit_ms,epochs_completed,lr,batch_size
0,1,1986,2,0.6836022564343044,0.592964824120603,0.04604242565567672,0.9899497487437185,5.742919168114253,9.196343455093524,6.933167586729039,1429.4205410005816,1,0.01,64
0,2,1986,2,0.04585420300385782,0.9824120603015075,0.04040073977167984,0.992462311557789,9.032394929146264,10.9648229563468,4.305582160431311,112.00237499906507,1,0.01,64
0,3,1986,2,0.017269387137535626,0.9974874371859297,0.047887259048881504,0.9974874371859297,11.364408725602885,12.985572646379724,3.297621210530105,106.27374999967287,1,0.01,64
0,4,1986,2,0.006431928261950556,0.9974874371859297,0.024887281828471584,0.9949748743718593,13.551464621240882,14.58350393592863,2.8490793397519427,104.39041599966004,1,0.01,64
0,5,1986,2,2.632532627368432e-05,1.0,2.465560575513694e-05,1.0,14.538204446825782,15.312791408227998,2.488859486867338,95.5332499997894,1,0.01,64
0,6,1986,2,1.332792059573405e-05,1.0,0.03808744837524251,0.9974874371859297,15.544454004374076,16.2611820350922,2.754140560696727,249.3008750006993,1,0.01,64
0,7,1986,2,6.0220549386988e-06,1.0,6.403018687706208e-05,1.0,16.079902926324248,16.169087997952488,0.8016743466245541,82.54124999984924,1,0.01,64
0,8,1986,2,0.0029870428677116123,0.9974874371859297,0.0007585875157799039,1.0,16.548787276781376,16.636655813981708,0.7071300199863171,85.31833400047617,1,0.01,64
0,9,1986,2,3.4325625262811495e-08,1.0,3.4325625262811495e-08,1.0,16.594781933772193,16.59480167637484,0.0003029547902995624,82.5229579986626,1,0.01,64
0,10,1986,2,3.4591713366743145e-08,1.0,3.4591713366743145e-08,1.0,16.59486467785161,16.59488802164412,0.000385119453284422,84.88487499926123,1,0.01,64
0,1,1986,2,0.6836022564343044,0.592964824120603,0.04604242565567672,0.9899497487437185,5.742919168114253,9.196343455093524,6.933167586729039,2012.0634589984547,1,0.01,64
0,2,1986,2,0.39446230445589336,0.8165829145728644,0.032247240002366846,0.9949748743718593,7.469653427577911,9.933243143432417,5.101044328658967,152.14562499932072,1,0.01,64
0,3,1986,2,0.031401266530987675,0.9949748743718593,0.032560588281658705,0.9974874371859297,9.86101409123475,11.625422244132945,3.6002411996774173,104.9906660009583,1,0.01,64
0,4,1986,2,0.048391785593858164,0.992462311557789,0.02562451841263932,0.9949748743718593,11.989966697892697,13.163406609855171,3.043499692289374,104.2751250006404,1,0.01,64
0,5,1986,2,0.030039415537462588,0.9974874371859297,0.07444780970647814,0.992462311557789,13.246359771418525,14.263354637972457,2.9634956674437873,103.25833299975784,1,0.01,64
0,6,1986,2,0.016247599518723517,0.9949748743718593,0.0441757823739733,0.9974874371859297,14.223594324339453,14.48471614930734,1.03617260419142,104.9568750004255,1,0.01,64
0,7,1986,2,0.033960456294666486,0.9974874371859297,0.056652210517816215,0.9949748743718593,15.322841469597268,15.681089908737475,1.5818304677329502,103.74083300121129,1,0.01,64
0,8,1986,2,0.040650806761423804,0.9974874371859297,0.0064701206449947,0.9974874371859297,16.1718989243077,16.60309685494335,1.9233566388199057,140.48762499987788,1,0.01,64
0,9,1986,2,0.016825485442361097,0.9974874371859297,0.013019385082380763,0.9974874371859297,16.73744664520669,16.78462651251095,0.7928405636675593,145.3479169995262,1,0.01,64
0,10,1986,2,4.711458210035094e-05,1.0,6.262903999803322e-05,1.0,16.887294919396194,16.895395431246225,0.15458078634720998,104.72841699993296,1,0.01,64
