round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms
1,fedavg,3,,2.9192049977351955,0.9465873837471008,12.593195065744883,9.0114533106486,1.410740065970614,1.3787499992758967,2397.9804170012358
2,fedavg,4,,2.4577617506951013,0.9787974953651428,12.471194252406127,10.93152379989624,1.254476410056914,0.07766700036881957,2345.4347920014698
3,fedavg,4,,2.3968066329267668,0.9860385060310364,11.156296597532872,13.085644721984863,1.1568472105845138,0.07774999903631397,349.4151659997442
4,fedavg,4,,1.535048022236228,0.994559109210968,18.557679273417378,14.434106826782227,0.4374469604459177,0.07000000005064066,337.85316700050316
5,fedavg,4,,1.596250403875561,0.994950532913208,19.493018842347837,15.362357139587402,0.4916391933429387,0.0666250016365666,323.58012499935285
6,fedavg,4,,1.3452178881579058,0.9965620040893555,31.6931001762234,16.039820909500122,0.29555078248906297,0.05804100146633573,542.0261670005857
7,fedavg,4,,1.5796479390963105,0.9956629872322083,48.0886539243595,16.367634296417236,0.4077167315451323,0.0704160011082422,249.93558399910398
8,fedavg,4,,0.2222015684751275,0.9999109506607056,63.3862003524468,16.61028528213501,0.04103989886846172,0.0564580004720483,251.24158299877308
9,fedavg,4,,0.0005798450706564036,1.0,68.94401518232344,16.59484624862671,3.7796677139794006e-05,0.05333399894880131,267.0234580000397
10,fedavg,4,,0.0009998851613321354,0.9999998807907104,59.583841670055584,16.594921588897705,4.093862921119934e-05,0.06174999907671008,258.54445900040446
1,fedavg,4,,2.5973037229104796,0.9398758411407471,23.031042429171748,7.5056129693984985,1.2392309315507344,0.15474999963771552,3752.4567910004407
2,fedavg,5,,2.9050456326443586,0.9591267704963684,8.831503321133253,9.271684455871583,1.2946926205628555,0.10754200047813356,2177.8385840007104
3,fedavg,5,,2.5812930548593287,0.97966468334198,10.783516334553342,11.292494201660157,1.1493983643126635,0.09695799963083118,349.28095800023584
4,fedavg,5,,2.312923127881783,0.9856308698654175,16.503998915548326,12.893134498596192,0.6919791938906615,0.076374999480322,353.38729199975205
5,fedavg,5,,1.9225790332938686,0.991643488407135,17.168225565948216,13.920226287841796,0.5522465611763698,0.07383299998764414,341.21362500081887
6,fedavg,5,,2.3348884172054896,0.9897658228874207,18.218788125254168,14.804253768920898,0.8104856189037686,0.08899999920686241,361.79933300081757
7,fedavg,5,,2.1297917135018674,0.9918860197067261,42.551172563372646,15.80591983795166,0.5846101936864752,0.09404200136486907,384.29333299973223
8,fedavg,5,,1.5784236611014613,0.9958155155181885,40.17215670326691,16.51184425354004,0.37189502654118206,0.1070830003300216,459.1089160003321
9,fedavg,5,,0.8677483357313027,0.998697817325592,37.14924766165108,16.83165626525879,0.1001750187014257,0.07183299931057263,402.6960829996824
10,fedavg,5,,0.04187064252276875,0.9999969005584717,41.209163616646336,16.895156860351562,0.007474098396273036,0.07904100129962899,353.6119169984886
