client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,precision_per_class,recall_per_class,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size,macro_f1_global,macro_f1_personalized,benign_fpr_global,benign_fpr_personalized,personalization_gain,dp_epsilon,dp_delta,dp_sigma,dp_clip_norm,dp_sample_rate,dp_total_steps,dp_enabled,secure_aggregation,secure_aggregation_seed,secure_aggregation_mask_checksum
10,1,3132,2,0.7121081471443176,0.4768740031897927,0.01528372773900628,0.9952153110047847,0.3228941684665227,0.9952028155723595,0.9952028155723595,0.010033444816053505,"{""0"": 0.9949579831932773, ""1"": 0.9954476479514416}","{""0"": 1.0, ""1"": 0.9909365558912386}","{""0"": 0.9899665551839465, ""1"": 1.0}",0.07692307692307693,0.9999535519049192,0.018103361129760742,0.9661266568483063,0.07692307692307693,0.018103361129760742,,5.732780216590892,7.381341546906426,4.2396604100300515,423.966057660393,2054.873957997188,1,0.01,64,,,,,,,,,,,,False,False,,
10,2,3132,2,0.016923118848353624,1.0,0.010664585116319358,0.9968102073365231,1.0,0.9968023908121009,0.9968023908121009,0.006688963210702337,"{""0"": 0.9966442953020134, ""1"": 0.9969604863221885}","{""0"": 1.0, ""1"": 0.9939393939393939}","{""0"": 0.9933110367892977, ""1"": 1.0}",0.0802675585284281,1.0,0.023634731769561768,0.9647058823529412,0.0802675585284281,0.023634731769561768,,6.841716275326915,7.273058867172213,1.286414986502644,128.64149969673036,206.928917003097,1,0.01,64,,,,,,,,,,,,False,False,,
10,3,3132,2,0.0012936415150761604,1.0,0.005065724230371415,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.0903010033444816,1.0,0.0009026527404785156,0.9604685212298683,0.0903010033444816,0.0009026527404785156,,7.132770402153186,7.377362356141747,1.1906325173197387,119.06325678146827,227.03954199096188,1,0.01,64,,,,,,,,,,,,False,False,,
10,4,3132,2,0.0014030340913450345,1.0,0.004104356557945721,0.9984051036682615,1.0,0.9984014440543661,0.9984014440543661,0.0033444816053511683,"{""0"": 0.998324958123953, ""1"": 0.9984779299847792}","{""0"": 1.0, ""1"": 0.9969604863221885}","{""0"": 0.9966555183946488, ""1"": 1.0}",0.11371237458193979,1.0,0.0003483295440673828,0.9507246376811594,0.11371237458193979,0.0003483295440673828,,7.256691968467926,7.626890334262835,1.3175433287440426,131.75433541942542,220.65325002768077,1,0.01,64,,,,,,,,,,,,False,False,,
10,5,3132,2,0.042600025635329074,0.9952153110047847,0.008372625592164696,0.9952153110047847,0.9952028155723595,0.9952043321630986,0.9952043321630986,0.006688963210702337,"{""0"": 0.9949748743718593, ""1"": 0.9954337899543378}","{""0"": 0.9966442953020134, ""1"": 0.993920972644377}","{""0"": 0.9933110367892977, ""1"": 0.9969512195121951}",0.06354515050167224,0.9999722274800353,0.0005948543548583984,0.9718518518518519,0.06354515050167224,0.0005948543548583984,,7.313959154936284,7.714357699643746,1.4263967716299226,142.63968019384635,219.61995802121237,1,0.01,64,,,,,,,,,,,,False,False,,
10,6,3132,2,0.010357559873955324,0.9968102073365231,0.010832717292942107,0.9952153110047847,0.9968042813455658,0.9952043321630986,0.9952043321630986,0.006688963210702337,"{""0"": 0.9949748743718593, ""1"": 0.9954337899543378}","{""0"": 0.9966442953020134, ""1"": 0.993920972644377}","{""0"": 0.9933110367892977, ""1"": 0.9969512195121951}",0.056856187290969896,0.9999815225424982,0.01590830087661743,0.974739970282318,0.056856187290969896,0.01590830087661743,,7.531755179041574,7.774700257877427,1.4340694197373085,143.4069475951677,216.32687500095926,1,0.01,64,,,,,,,,,,,,False,False,,
10,7,3132,2,0.000289202704152558,1.0,0.0006178923111292533,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.0903010033444816,1.0,0.0003637075424194336,0.9604685212298683,0.0903010033444816,0.0003637075424194336,,7.616209063778581,7.698682712545446,0.7313867108486719,73.13867104863675,210.28795899474062,1,0.01,64,,,,,,,,,,,,False,False,,
10,8,3132,2,0.00018841809578589163,1.0,0.01850614147624583,0.9952153110047847,1.0,0.9952028155723595,0.9952028155723595,0.010033444816053505,"{""0"": 0.9949579831932773, ""1"": 0.9954476479514416}","{""0"": 1.0, ""1"": 0.9909365558912386}","{""0"": 0.9899665551839465, ""1"": 1.0}",0.10033444816053512,0.9999627625524277,0.0013658404350280762,0.956268221574344,0.10033444816053512,0.0013658404350280762,,7.660022016732241,7.72335607980936,0.46505451470613174,46.505452820792485,209.4594160153065,1,0.01,64,,,,,,,,,,,,False,False,,
10,9,3132,2,9.52048103499692e-05,1.0,0.0022373005413101055,0.9984051036682615,1.0,0.9984019166804725,0.9984019166804725,0.0,"{""0"": 0.998330550918197, ""1"": 0.9984732824427481}","{""0"": 0.9966666666666667, ""1"": 1.0}","{""0"": 1.0, ""1"": 0.9969512195121951}",0.10367892976588629,1.0,0.0011127591133117676,0.9548762736535662,0.10367892976588629,0.0011127591133117676,,7.68363013086787,7.813853069674736,0.917247532587507,91.72475214202365,222.2530419821851,1,0.01,64,,,,,,,,,,,,False,False,,
10,10,3132,2,0.004129029633259051,0.9984051036682615,7.195949692686554e-05,1.0,0.9984019166804725,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09364548494983277,1.0,0.00018745660781860352,0.9590643274853801,0.09364548494983277,0.00018745660781860352,,7.7059830808618,7.820434245618133,0.627991584290069,62.799161321247084,208.3878330013249,1,0.01,64,,,,,,,,,,,,False,False,,
