round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms
1,fedavg,5,,3.8725782751521884,0.8950386643409729,11.806967602006235,8.132364177703858,1.6732671483712904,0.143291999847861,2350.4656669992983
2,fedavg,5,,2.8105221691135385,0.9684451818466187,9.970177578961637,10.055475616455078,1.2183541754551621,0.10070800090034027,298.9884999988135
3,fedavg,5,,2.6818215992759455,0.9802096486091614,9.122949708553612,12.215017509460449,1.1035042932425903,0.07854200157453306,269.8335829991265
4,fedavg,5,,2.0747362688197373,0.9912052750587463,12.667751118340789,13.918886756896972,0.8940443342415223,0.06774999928893521,321.1298749993148
5,fedavg,5,,1.7922184418031428,0.9941021203994751,22.102480683204554,15.115690231323242,0.5972119448062742,0.06666700028290506,270.98245799970755
6,fedavg,5,,1.7446973585645384,0.994350254535675,32.95377524739054,15.85436553955078,0.34767038858376376,0.06770800064259674,296.80662499959
7,fedavg,5,,1.805035384711788,0.9945142865180969,35.26501287786363,16.540848159790038,0.44383990481366364,0.07304099926841445,276.3112499997078
8,fedavg,5,,1.7069026036665431,0.9951313138008118,48.12932086213908,17.041340637207032,0.25093179700699436,0.06887500057928264,277.97758300039277
9,fedavg,5,,0.26750715236953526,0.9998793005943298,48.3733224888166,17.21954002380371,0.04981523598723899,0.06737500007147901,262.49954200102366
10,fedavg,5,,0.017538169445419763,0.9999994039535522,54.073471600921785,17.199348068237306,0.0004967365723030326,0.780708000093,270.76287499949103
