exp_dir,aggregator,alpha,adv_percent,mu,seed,attack_mode,round,macro_f1,macro_f1_val,n_test_total,config_key
dsedge-iiotset-full_comp_fedavg_alpha0.5_adv10_dp0_pers0_mu0.0_seed48_datasetedge-iiotset-full,fedavg,0.5,10,0.0,48,none,20,0.5599898557865333,,306569,fedavg_alpha0.5_adv10_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.05_adv30_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,krum,0.05,30,0.0,53,none,20,0.3128871783534525,,306570,krum_alpha0.05_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha1.0_adv10_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,median,1.0,10,0.0,53,none,20,0.6301908230151176,,306570,median_alpha1.0_adv10_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.2_adv0_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,bulyan,0.2,0,0.0,55,none,20,0.6451007477019141,,306569,bulyan_alpha0.2_adv0_mu0.0
dsedge-iiotset-full_comp_fedprox_alphainf_adv30_dp0_pers0_mu0.05_modetargeted_label_seed43_datasetedge-iiotset-full,fedprox,inf,30,0.05,43,targeted,20,0.4085034716422399,,306570,fedprox_alphainf_adv30_mu0.05
dsedge-iiotset-full_comp_krum_alpha0.1_adv20_dp0_pers0_mu0.0_seed57_datasetedge-iiotset-full,krum,0.1,20,0.0,57,none,20,0.2609639165498364,,306570,krum_alpha0.1_adv20_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_modetargeted_label_seed42_datasetedge-iiotset-full,median,0.5,30,0.0,42,targeted,20,0.5028375744857736,,306568,median_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha0.1_adv10_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-full,median,0.1,10,0.0,44,none,20,0.5564064308517895,,306570,median_alpha0.1_adv10_mu0.0
dsedge-iiotset-full_comp_bulyan_alphainf_adv10_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-full,bulyan,inf,10,0.0,43,none,20,0.6520289279514756,,306570,bulyan_alphainf_adv10_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-full,krum,0.5,0,0.0,44,none,20,0.5971780677346091,,306571,krum_alpha0.5_adv0_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.05_adv10_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,bulyan,0.05,10,0.0,45,none,20,0.5110921657167108,,306568,bulyan_alpha0.05_adv10_mu0.0
dsedge-iiotset-full_comp_median_alpha0.05_adv30_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,median,0.05,30,0.0,53,none,20,0.3514877937795283,,306570,median_alpha0.05_adv30_mu0.0
dsedge-iiotset-full_comp_fedprox_alpha1.0_adv10_dp0_pers0_mu0.05_modegrad_ascent_seed43_datasetedge-iiotset-full,fedprox,1.0,10,0.05,43,grad,20,0.51194205569957,,306569,fedprox_alpha1.0_adv10_mu0.05
dsedge-iiotset-full_comp_fedavg_alpha0.05_adv20_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,fedavg,0.05,20,0.0,55,none,20,0.0706012143371383,,306570,fedavg_alpha0.05_adv20_mu0.0
dsedge-iiotset-full_comp_median_alphainf_adv0_dp0_pers0_mu0.0_seed56_datasetedge-iiotset-full,median,inf,0,0.0,56,none,20,0.7081294283374598,,306570,median_alphainf_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.5_adv30_dp0_pers0_mu0.0_modetargeted_label_seed46_datasetedge-iiotset-full,fedavg,0.5,30,0.0,46,targeted,20,0.5235285461628104,,306568,fedavg_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_modesign_flip_topk_seed49_datasetedge-iiotset-full,median,0.5,20,0.0,49,sign,20,0.5954514771901448,,306570,median_alpha0.5_adv20_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,fedavg,0.2,10,0.0,47,none,20,0.0020993615572478,,306569,fedavg_alpha0.2_adv10_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.5_adv30_dp0_pers0_mu0.0_modesign_flip_topk_seed50_datasetedge-iiotset-full,fedavg,0.5,30,0.0,50,sign,20,0.0012918141608004,,306569,fedavg_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_median_alphainf_adv0_dp0_pers0_mu0.0_seed61_datasetedge-iiotset-full,median,inf,0,0.0,61,none,20,0.6505289031362919,,306570,median_alphainf_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.2_adv30_dp0_pers0_mu0.0_seed52_datasetedge-iiotset-full,krum,0.2,30,0.0,52,none,20,0.2274091043934252,,306569,krum_alpha0.2_adv30_mu0.0
dsedge-iiotset-full_comp_krum_alphainf_adv30_dp0_pers0_mu0.01_modesign_flip_topk_seed42_datasetedge-iiotset-full,krum,inf,30,0.01,42,sign,20,0.498633804296996,,306570,krum_alphainf_adv30_mu0.01
dsedge-iiotset-full_comp_krum_alpha0.1_adv0_dp0_pers0_mu0.0_seed52_datasetedge-iiotset-full,krum,0.1,0,0.0,52,none,20,0.5433996375333239,,306570,krum_alpha0.1_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed58_datasetedge-iiotset-full,fedavg,0.2,0,0.0,58,none,20,0.661792685931106,,306570,fedavg_alpha0.2_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,fedavg,1.0,0,0.0,47,none,0,0.0,0.0,0,fedavg_alpha1.0_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.1_adv10_dp0_pers0_mu0.01_modegrad_ascent_seed46_datasetedge-iiotset-full,krum,0.1,10,0.01,46,grad,20,0.4282453778689217,,306570,krum_alpha0.1_adv10_mu0.01
dsedge-iiotset-full_comp_krum_alpha0.05_adv0_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,krum,0.05,0,0.0,47,none,20,0.3205408007641568,,306568,krum_alpha0.05_adv0_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv10_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,median,0.5,10,0.0,53,none,20,0.6095409948140988,,306570,median_alpha0.5_adv10_mu0.0
dsedge-iiotset-full_comp_fedprox_alpha0.1_adv30_dp0_pers0_mu0.01_modegrad_ascent_seed44_datasetedge-iiotset-full,fedprox,0.1,30,0.01,44,grad,20,0.2983719323533962,,306570,fedprox_alpha0.1_adv30_mu0.01
dsedge-iiotset-full_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.0_seed56_datasetedge-iiotset-full,fedavg,0.1,0,0.0,56,none,20,0.5342634893476222,,306569,fedavg_alpha0.1_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha1.0_adv10_dp0_pers0_mu0.0_seed48_datasetedge-iiotset-full,fedavg,1.0,10,0.0,48,none,20,0.5077060283131408,,306570,fedavg_alpha1.0_adv10_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-full,bulyan,0.2,10,0.0,43,none,20,0.6440452630119355,,306570,bulyan_alpha0.2_adv10_mu0.0
