experiment,aggregation,alpha,seed,mu,dataset,num_clients,num_rounds,final_round,num_clients_reporting,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,acc_std
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu0.01_seed46,unknown,0.05,46,0.01,edge-iiotset-nightly,6,15,15,6,0.49851941379324766,0.09492158629338397,0.4237233035509154,0.6848156532560202,0.9506534121849026,0.06344884740098328
dsedge-iiotset-nightly_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed42_datasetedge-iiotset-nightly,median,1.0,42,0.0,edge-iiotset-nightly,6,20,20,6,0.6987511098325839,0.038055887111228814,0.6282846902532264,0.7314750247834902,0.9661558905361073,0.0035662549156477625
dsedge-iiotset-nightly_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed45,median,1.0,45,0.0,edge-iiotset-nightly,6,15,15,6,0.654359190256726,0.03134640345505225,0.6127442063665264,0.6862029138891995,0.965636809102612,0.003144410067079476
dsedge-iiotset-nightly_comp_bulyan_alpha0.1_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx8_seed50,bulyan,0.1,50,0.0,edge-iiotset-nightly,6,15,15,6,0.5946998605692045,0.04536028602984597,0.5328671328671329,0.6503941999411108,0.9754137926863938,0.034534238895285674
dsedge-iiotset-nightly_p0b1bacd1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed51_datasetedge-iiotset-nightly,krum,1.0,51,0.0,edge-iiotset-nightly,6,20,20,6,0.6853082429057779,0.034516060384525454,0.6554100105282469,0.7310370946985126,0.9625526441360137,0.0029793531095018816
dsedge-iiotset-nightly_p0b1bacd1_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-nightly,median,1.0,43,0.0,edge-iiotset-nightly,6,20,20,6,0.6932641473978629,0.012543437443959311,0.6762707938826148,0.7062427325853875,0.9632061575485986,0.003891114121259246
dsedge-iiotset-nightly_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.05_seed43,unknown,,43,0.05,edge-iiotset-nightly,6,15,15,6,0.5841136862881129,0.02242086987346877,0.5455300028655589,0.6110161451764932,0.9557638802375317,0.007392451539880217
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.01_seed43,unknown,1.0,43,0.01,edge-iiotset-nightly,6,15,15,6,0.6773626093897821,0.01312665433097986,0.6659551558901718,0.7017236018644782,0.961676033434203,0.022042867713207476
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.05_seed46_datasetedge-iiotset-nightly,unknown,1.0,46,0.05,edge-iiotset-nightly,6,20,20,6,0.719678106350512,0.02697489298962832,0.669271098524473,0.7441132400047772,0.9679207674099912,0.0016843596642487195
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers5_mu0.0_seed51,fedavg,0.5,51,0.0,edge-iiotset-nightly,6,15,15,6,0.6400713112222729,0.029509532655258776,0.6199364911876227,0.6928032386237502,0.9584047449806838,0.03017620225815272
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp0_pers5_mu0.0_seed51,fedavg,0.5,51,0.0,edge-iiotset-nightly,6,15,15,6,0.657245269055698,0.023683617899192457,0.6255900366698565,0.688535731661888,0.959088868925225,0.028812172237638465
dsedge-iiotset-nightly_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.05_seed45,unknown,,45,0.05,edge-iiotset-nightly,6,15,15,6,0.6138702824800236,0.021404755305354725,0.584064813148902,0.6413331478354276,0.96365391802666,0.00174043909850665
dsedge-iiotset-nightly_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,median,1.0,42,0.0,edge-iiotset-nightly,6,15,15,6,0.6584156877590761,0.014106924496776741,0.6410039852080505,0.6787158494386231,0.9622004900128732,0.004485800717856307
dsedge-iiotset-nightly_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.1_seed45,unknown,0.1,45,0.1,edge-iiotset-nightly,6,15,15,6,0.414838632259454,0.0539937946427191,0.351913297449582,0.5050609147844709,0.961047338754144,0.0786772700038729
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.05_seed45_datasetedge-iiotset-nightly,unknown,1.0,45,0.05,edge-iiotset-nightly,6,20,20,6,0.6866938744293557,0.04681287327898872,0.6182733532232387,0.7362672137914246,0.9646816992649807,0.005994205316129716
dsedge-iiotset-nightly_p0b1bacd1_comp_bulyan_alpha1.0_adv0_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-nightly,bulyan,1.0,44,0.0,edge-iiotset-nightly,6,20,20,6,0.713516622808076,0.04643723776025919,0.641936136082808,0.7577877775791639,0.96627663326487,0.0019976479453145068
dsedge-iiotset-nightly_comp_fedavg_alpha0.05_adv0_dp0_pers0_mu0.0_seed46,fedavg,0.05,46,0.0,edge-iiotset-nightly,6,15,15,6,0.5135018721151059,0.03749084408218509,0.46850618825385054,0.5711021343373929,0.9519159364070924,0.062158401691586124
dsedge-iiotset-nightly_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.1_seed45,unknown,0.5,45,0.1,edge-iiotset-nightly,6,15,15,6,0.5669254443264188,0.027235870730503035,0.5302432009926005,0.6007005119059328,0.9590982876731187,0.062472439138319034
dsedge-iiotset-nightly_comp_fedavg_alpha1.0_adv0_dp0_pers1_mu0.0_seed44,fedavg,1.0,44,0.0,edge-iiotset-nightly,12,15,15,12,0.6821738244691408,0.03591496024941048,0.6096505186605101,0.7384913074755413,0.9634774303392716,0.0057074276677530275
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_pers0_mu0.05_seed45,unknown,0.2,45,0.05,edge-iiotset-nightly,6,15,15,6,0.5598350797743115,0.05764858177907814,0.47144249273351163,0.6259873444185104,0.9659134206015485,0.06860101376735443
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx3_seed50,unknown,0.05,50,0.0,edge-iiotset-nightly,6,15,15,6,0.5643449537798467,0.03143060947133645,0.5232893004009919,0.6029788976519493,0.9892091317341131,0.020417126006054945
dsedge-iiotset-nightly_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-nightly,krum,1.0,44,0.0,edge-iiotset-nightly,6,20,20,6,0.7169901378860407,0.032374329844762934,0.6805122801869631,0.7704996674012364,0.9660313109920684,0.0039345578278281385
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers3_mu0.0_seed47,fedavg,0.5,47,0.0,edge-iiotset-nightly,6,15,15,6,0.6138412166021142,0.07480392182698646,0.5225339594378747,0.7147513692305494,0.9719893686850012,0.029328208723823534
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx30_seed47,unknown,0.2,47,0.0,edge-iiotset-nightly,6,15,15,6,0.6307163236927402,0.058959133431068476,0.5648773539277024,0.7047310473050745,0.9712725715134156,0.030675774826855545
dsedge-iiotset-nightly_comp_bulyan_alpha1.0_adv0_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-nightly,bulyan,1.0,44,0.0,edge-iiotset-nightly,6,20,20,6,0.7179873586931013,0.03135622597516487,0.6865979241724188,0.7696451516941565,0.9676404634359038,0.0012794446541701606
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx42_seed49,unknown,0.2,49,0.1,edge-iiotset-nightly,6,15,15,6,0.47255523273042377,0.06581548611386899,0.4255262459842827,0.6043451549532547,0.9566135441890584,0.024570832537447674
