client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size
4,1,123,2,0.6703169345855713,0.8,0.3665802478790283,0.96,5.755831610292613,5.899564109192387,1.1769257764184038,117.69258094755156,1247.5206249509938,1,0.01,64
4,2,123,2,0.36283668875694275,0.88,0.05535624548792839,1.0,6.080397551858716,6.288418885581516,1.248666881253953,124.86669332543363,16.326208016835153,1,0.01,64
4,3,123,2,0.44724372029304504,0.84,0.0391668975353241,1.0,6.189114294862262,6.391720626573028,1.2530029169598882,125.30029634142309,15.1085410034284,1,0.01,64
4,4,123,2,0.12745161354541779,1.0,0.02392260544002056,1.0,6.380730224822633,6.539504131861968,0.9278006425831333,92.78006865949695,14.12795897340402,1,0.01,64
4,5,123,2,0.5355529189109802,0.68,0.012250205501914024,1.0,6.524857863965646,6.7176686977623135,1.1903832637201308,119.03833031621645,14.616791042499244,1,0.01,64
4,6,123,2,0.027548514306545258,1.0,0.0503385066986084,1.0,6.742917788494961,6.857235419629389,1.1092403500778636,110.9240373700792,12.979082996025681,1,0.01,64
4,7,123,2,1.2586828470230103,0.4,0.011788550764322281,1.0,6.818750870970767,7.014264639273083,1.2426570279649312,124.26570542087205,15.498624998144805,1,0.01,64
4,8,123,2,0.006763446144759655,1.0,0.05284668505191803,1.0,7.038119416986271,7.1113578863340985,1.002745021983944,100.27450289188138,12.732083967421204,1,0.01,64
4,9,123,2,1.072356939315796,0.6,0.009325139224529266,1.0,7.082978760940971,7.311716435349835,1.2106103886933806,121.06104344647297,14.761832950171083,1,0.01,64
4,10,123,2,0.0018666322575882077,1.0,0.018265265971422195,1.0,7.329380319823063,7.328227980597757,0.9869298777680445,98.69299169701678,12.37162499455735,1,0.01,64
4,11,123,2,0.31852707266807556,0.84,0.0014777762116864324,1.0,7.325696505686667,7.565786003200245,1.1489974999912638,114.89975226743267,13.280124985612929,1,0.01,64
4,12,123,2,0.0009767500450834632,1.0,0.02539828233420849,1.0,7.5300016429591095,7.550757728792628,1.0959718813631185,109.59718885592994,14.663875044789165,1,0.01,64
4,13,123,2,0.6266096234321594,0.72,0.006940999533981085,1.0,7.532517337663985,7.746510344425183,1.1692750249881703,116.92750442984128,13.902292004786432,1,0.01,64
4,14,123,2,0.0010266031604260206,1.0,0.01089472509920597,1.0,7.777101391762304,7.79599759630029,0.9122052209975218,91.22052464942963,14.761583996005356,1,0.01,64
4,15,123,2,0.024087099358439445,1.0,0.00033266155514866114,1.0,7.858828278413453,8.098052958677135,0.9507845090681522,95.07845359124832,13.66983400657773,1,0.01,64
4,16,123,2,0.008992721326649189,1.0,0.00018707245180848986,1.0,7.919834320863813,8.159330736927418,0.8024936141887896,80.24936170116189,12.931041012052447,1,0.01,64
4,17,123,2,0.0015563619090244174,1.0,0.0021320569794625044,1.0,7.958286209610825,8.039478934413273,0.6887837714938281,68.87838164913819,14.717541984282434,1,0.01,64
4,18,123,2,0.005090832244604826,1.0,0.00027861667331308126,1.0,7.991992042851198,8.231907134067589,0.812733910262171,81.27339348520944,15.687040984630585,1,0.01,64
4,19,123,2,0.0007961636292748153,1.0,0.0036854147911071777,1.0,8.042120211612328,8.173292394967856,0.7214059806747805,72.14059791167843,13.681333046406507,1,0.01,64
4,20,123,2,0.010328059084713459,1.0,0.0002582065644674003,1.0,8.113534407323256,8.358394133652164,0.8084767847736584,80.8476802606377,15.354625007603317,1,0.01,64
