signature_id,key_count,keys_json,runs_count
b85bd1fb2cfd,19,"[""round"", ""agg_method"", ""n_clients"", ""byzantine_f"", ""l2_to_benign_mean"", ""cos_to_benign_mean"", ""coord_median_agree_pct"", ""update_norm_mean"", ""update_norm_std"", ""t_aggregate_ms"", ""t_round_ms"", ""pairwise_cosine_mean"", ""pairwise_cosine_std"", ""l2_dispersion_mean"", ""l2_dispersion_std"", ""global_macro_f1_val"", ""global_macro_f1_test"", ""n_val_total"", ""n_test_total""]",13198
60e8a3a3b35c,15,"[""round"", ""agg_method"", ""n_clients"", ""byzantine_f"", ""l2_to_benign_mean"", ""cos_to_benign_mean"", ""coord_median_agree_pct"", ""update_norm_mean"", ""update_norm_std"", ""t_aggregate_ms"", ""t_round_ms"", ""pairwise_cosine_mean"", ""pairwise_cosine_std"", ""l2_dispersion_mean"", ""l2_dispersion_std""]",1497
