run_id,canonical_run_id,is_canonical,canonical_key_id,duplicate_group_size,dataset,aggregation,alpha,adv_percent,attack_mode,fedprox_mu,seed,quality_state,quality_rank,max_round,parsed_row_count
dsedge-iiotset-full_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,dsedge-iiotset-full_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,True,5eb3626d5a4a,1,edge-iiotset-full,fedavg,0.2,10.0,none,0.0,59.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_0771ace93e_comp_fedprox_alpha0.5_adv20_dp0_pers0_mu0.05_seed42,unsw_simple_0771ace93e_comp_fedprox_alpha0.5_adv20_dp0_pers0_mu0.05_seed42,True,5ebf5fcb359e,1,unsw,fedprox,0.5,20.0,label_flip,0.05,42.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_c51808e9a4_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.05_seed43_srccic,unsw_simple_c51808e9a4_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.05_seed43_srccic,True,5ed1066ec7ea,1,unsw,fedavg,0.5,0.0,none,0.05,43.0,complete_or_exceeds_target,0,20.0,20
cic_simple_80420abb56_comp_median_alpha0.05_adv20_dp0_pers0_mu0.0_seed45,cic_simple_80420abb56_comp_median_alpha0.05_adv20_dp0_pers0_mu0.0_seed45,True,5ed1858f648a,1,cic,median,0.05,20.0,none,0.0,45.0,complete_or_exceeds_target,0,20.0,20
dsedge-iiotset-full_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,dsedge-iiotset-full_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,True,5edbd10f9c74,1,edge-iiotset-full,bulyan,0.2,10.0,none,0.0,47.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed61_datasetcic,dscic_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed61_datasetcic,True,5ede119d07ee,1,cic,fedavg,0.2,10.0,targeted_label,0.0,61.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedavg_alpha1.0_adv10_dp0_pers0_mu0.0_n10_r20_modesign_flip_topk_seed60_datasetcic,dscic_comp_fedavg_alpha1.0_adv10_dp0_pers0_mu0.0_n10_r20_modesign_flip_topk_seed60_datasetcic,True,5ee151fe2fb6,1,cic,fedavg,1.0,10.0,sign_flip_topk,0.0,60.0,complete_or_exceeds_target,0,20.0,20
cic_simple_4ef448320d_comp_krum_alpha0.02_adv30_dp0_pers0_mu0.0_seed50,cic_simple_4ef448320d_comp_krum_alpha0.02_adv30_dp0_pers0_mu0.0_seed50,True,5ee9a0aadda6,1,cic,krum,0.02,30.0,none,0.0,50.0,complete_or_exceeds_target,0,20.0,20
unsw_pbb521874_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu0.02_seed46,unsw_pbb521874_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu0.02_seed46,True,5eed27dac861,1,unsw,fedprox,0.05,0.0,none,0.02,46.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_n10_r20_modesign_flip_topk_seed48_datasetcic,dscic_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_n10_r20_modesign_flip_topk_seed48_datasetcic,True,5ef36b697db7,1,cic,median,0.5,20.0,sign_flip_topk,0.0,48.0,truncated_before_target,1,1.0,1
