aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,0.9753389179959167,0.9341947402409879,1.0164830957508453,5,0.0
fedavg,0.1,0.861376914566141,0.7459970030601545,0.9767568260721274,5,11.684349032635732
fedavg,0.3,0.6332917723265785,0.512346959491957,0.7542365851612001,5,35.06956806072719
krum,0.0,0.9988711025305816,0.9982788113682205,0.9994633936929428,5,0.0
krum,0.1,0.9277470369300218,0.9143779239960257,0.9411161498640179,5,7.120444812185593
krum,0.3,0.7844404444834341,0.7417606567333757,0.8271202322334925,5,21.467300185569492
bulyan,0.0,0.999680907890008,0.9994203571073603,0.9999414586726556,5,0.0
bulyan,0.1,0.9256786694593332,0.9142558118734638,0.9371015270452026,5,7.402585949837608
bulyan,0.3,0.7721373833650633,0.7539007603618176,0.790374006368309,5,22.761615504412593
median,0.0,0.9998037543782312,0.9995325232857011,1.0000749854707613,5,0.0
median,0.1,0.9319810181129127,0.927226508465855,0.9367355277599704,4,6.783604879289223
median,0.3,0.7695369138097032,0.7273421306981525,0.811731696921254,5,23.031203829768454
