aggregation_method,macro_f1_mean,macro_f1_std,n_seeds
fedavg,0.9753389179959167,0.029638027186564893,5
krum,0.8168777367547184,0.05297365474926255,5
bulyan,0.8042059599799568,0.05338678735869857,5
median,0.8264310054241797,0.08773953412911611,5
