round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,12,,1.4089824294785906e-05,1.0,24.60160140958146,8.868441184361776,0.06745570919775755,0.6428329943446442,17695.26454199513,0.8872392304015883,0.02153428776735576,2.836141506830851,0.311798383316775
2,fedavg,12,,7.802372007666096e-06,1.0,27.986302051139955,9.781975587209066,0.15921763248575338,0.6644590030191466,12476.525250007398,0.9743402473854296,0.008919121874456544,1.4757131735483806,0.33772133828861345
3,fedavg,12,,6.958077284218492e-06,1.0,33.05766921727022,10.321235418319702,0.10096044011204149,0.8520419942215085,13003.24137500138,0.9801096789764635,0.005677231983185785,1.37417999903361,0.26592666730814335
4,fedavg,12,,6.283574672422905e-06,0.9999999403953552,33.559974707106875,10.698368151982626,0.11760970708987946,0.5674999993061647,12542.664291991969,0.9834195357380491,0.005112757803390166,1.299319530526797,0.2673635648432658
5,fedavg,12,,6.4615386800457885e-06,1.0,36.45302697671775,10.9708784421285,0.09998546409215213,0.6680420046905056,12079.28695800365,0.985797461235162,0.005284321267658297,1.2220469464858372,0.30015337852971224
6,fedavg,12,,5.045122093050886e-06,1.0,35.47470355450405,11.178264061609903,0.09768436844422292,0.7308339991141111,11814.823624998098,0.988617839235248,0.0036978547966565597,1.1229587495326996,0.2380938674330453
7,fedavg,12,,5.586772124106548e-06,1.0,35.2935325503904,11.414271036783854,0.08446157737984994,0.6651669973507524,11863.885624989052,0.9885480792233439,0.003999164719867047,1.1454105079174042,0.2581285270479156
8,fedavg,12,,5.777717639280369e-06,1.0,29.997655434064413,11.56946317354838,0.064829310442159,0.6313750054687262,11803.54329200054,0.9895197478207675,0.003998210125115664,1.107662816842397,0.25741876328007995
9,fedavg,12,,4.78989348726062e-06,1.0,30.20440352111175,11.715433518091837,0.09329478868165364,1.0447079985169694,11826.217334004468,0.9907713198300564,0.002508843125336425,1.064473162094752,0.1980601518827373
10,fedavg,12,,5.775234859589407e-06,1.0,33.86263685515556,11.883911530176798,0.07304789311567549,0.9299170051235706,11887.949833006132,0.9895904064178467,0.0030925473754641274,1.1428214212258656,0.22155347342281503
11,fedavg,12,,5.198681415597076e-06,1.0,37.78658766189938,12.013386885325113,0.06788027137023304,0.7742909947410226,11788.943999999901,0.992256095012029,0.001969738704372629,1.000587210059166,0.17206002474643453
12,fedavg,12,,4.959257506365018e-06,0.9999997615814209,31.952170854913998,12.140772024790445,0.06046888194979851,0.7079580100253224,12489.590625002165,0.991368442773819,0.002588939475419448,1.063190038005511,0.20270195774801317
13,fedavg,12,,6.183538181989951e-06,1.0,37.04556273134827,12.342594305674234,0.18332892362417974,0.5598330026259646,12732.809125009226,0.9888720331770001,0.009031882313308011,1.1531035949786503,0.5318021028961858
14,fedavg,12,,5.912471997442084e-06,1.0,34.6754197128262,12.506051619847616,0.1035727836717946,0.578624996705912,12615.200833010022,0.9889531027187001,0.004545017456182047,1.223504324754079,0.322796098469184
15,fedavg,12,,5.727845857281181e-06,1.0,36.64201320061669,12.628915786743164,0.05574164399873067,0.8240000024670735,12697.58287500008,0.9909700507467444,0.0030935520715716642,1.1227540969848633,0.2542865003443518
