client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,precision_per_class,recall_per_class,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size,macro_f1_global,macro_f1_personalized,benign_fpr_global,benign_fpr_personalized,personalization_gain,dp_epsilon,dp_delta,dp_sigma,dp_clip_norm,dp_sample_rate,dp_total_steps,dp_enabled,secure_aggregation,secure_aggregation_seed,secure_aggregation_mask_checksum
10,1,5210,2,0.6244095704134773,0.9059500959692899,0.0192799166064052,0.9980806142034548,0.47532729103726085,0.9928162702516374,0.9928162702516374,0.0020661157024793875,"{""0"": 0.9989658738366081, ""1"": 0.9866666666666667}","{""0"": 1.0, ""1"": 0.9736842105263158}","{""0"": 0.9979338842975206, ""1"": 1.0}",0.07024793388429752,0.9945655365915727,0.038905560970306396,0.6851851851851852,0.07024793388429752,0.038905560970306396,,5.793964834821723,6.832387263868089,3.246407517498878,324.640751541362,2007.8164580045268,1,0.01,64,,,,,,,,,,,,False,False,,
10,2,5210,2,0.35357308563064127,0.9213051823416507,0.003800686709034969,0.9990403071017274,0.7996247830777168,0.996340508325168,0.996340508325168,0.0,"{""0"": 0.9994837377387713, ""1"": 0.9931972789115646}","{""0"": 0.9989680082559339, ""1"": 1.0}","{""0"": 1.0, ""1"": 0.9864864864864865}",0.10330578512396695,0.9999999999999999,0.00307542085647583,0.5967741935483871,0.10330578512396695,0.00307542085647583,,6.435450403643811,6.995401847433636,1.529403877047061,152.94039054979373,340.1089579856489,1,0.01,64,,,,,,,,,,,,False,False,,
10,3,5210,2,0.014577568043023348,0.9980806142034548,0.010741092572810458,0.9952015355086372,0.9928162702516374,0.9812294866390694,0.9812294866390694,0.0,"{""0"": 0.9974240082431737, ""1"": 0.965034965034965}","{""0"": 0.9948612538540597, ""1"": 1.0}","{""0"": 1.0, ""1"": 0.9324324324324325}",0.1012396694214876,1.0,0.00033032894134521484,0.6016260162601627,0.1012396694214876,0.00033032894134521484,,6.927469545577156,7.220976647646348,1.3707405600649964,137.0740568800295,339.8403750034049,1,0.01,64,,,,,,,,,,,,False,False,,
10,4,5210,2,0.0018376757746891065,1.0,0.0002676179103539599,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.1012396694214876,0.9999999999999999,0.00040858983993530273,0.6016260162601627,0.1012396694214876,0.00040858983993530273,,7.175246712508601,7.314476707583458,0.5426551016181647,54.265512358122656,340.22191702388227,1,0.01,64,,,,,,,,,,,,False,False,,
10,5,5210,2,0.013474209869266762,0.9971209213051824,0.0026337844897438224,0.9990403071017274,0.9892902293042075,0.996340508325168,0.996340508325168,0.0,"{""0"": 0.9994837377387713, ""1"": 0.9931972789115646}","{""0"": 0.9989680082559339, ""1"": 1.0}","{""0"": 1.0, ""1"": 0.9864864864864865}",0.10433884297520661,0.9999999999999998,0.00029391050338745117,0.5943775100401606,0.10433884297520661,0.00029391050338745117,,7.3176820378945395,7.454670050408116,0.6189785569978115,61.89785785203833,339.6595829981379,1,0.01,64,,,,,,,,,,,,False,False,,
10,6,5210,2,0.004484657978858142,0.9971209213051824,0.0002365098857005839,1.0,0.9892902293042075,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09710743801652892,1.0,0.0004131197929382324,0.6115702479338843,0.09710743801652892,0.0004131197929382324,,7.412567520055213,7.521918339519267,0.6504322598386539,65.04322653330986,352.62608400080353,1,0.01,64,,,,,,,,,,,,False,False,,
10,7,5210,2,0.0003262484328040634,1.0,0.00010544563487843227,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.10330578512396695,0.9999999999999999,0.00017470121383666992,0.5967741935483871,0.10330578512396695,0.00017470121383666992,,7.493575295765398,7.532626628451918,0.12104998525219661,12.104998958269316,349.52491699368693,1,0.01,64,,,,,,,,,,,,False,False,,
10,8,5210,2,0.001203759787398774,0.9990403071017274,7.145601921365596e-05,1.0,0.9963858973691969,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.11053719008264463,0.9999999999999999,0.00011420249938964844,0.5803921568627451,0.11053719008264463,0.00011420249938964844,,7.524809585959016,7.559231348030967,0.26273250006407417,26.2732509183313,355.87804100941867,1,0.01,64,,,,,,,,,,,,False,False,,
10,9,5210,2,0.0001574560083099641,1.0,6.708243210382266e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09710743801652892,1.0,0.00013375282287597656,0.6115702479338843,0.09710743801652892,0.00013375282287597656,,7.54749078267169,7.584286701170145,0.10736334686919638,10.736334886942597,335.0127920275554,1,0.01,64,,,,,,,,,,,,False,False,,
10,10,5210,2,0.0001407076997566037,1.0,6.586668400011738e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.10433884297520661,0.9999999999999998,0.00011754035949707031,0.5943775100401606,0.10433884297520661,0.00011754035949707031,,7.566703849615696,7.5960111876813565,0.08912953601451945,8.912953704826101,337.2825419937726,1,0.01,64,,,,,,,,,,,,False,False,,
10,11,5210,2,8.823931206921664e-05,1.0,4.8085606335114466e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09917355371900827,1.0,9.036064147949219e-05,0.6065573770491803,0.09917355371900827,9.036064147949219e-05,,7.594883924857472,7.61876427738692,0.07755665846893452,7.755665828813476,348.5455419868231,1,0.01,64,,,,,,,,,,,,False,False,,
10,12,5210,2,7.852601864964098e-05,1.0,0.0004734099744810545,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.1012396694214876,0.9999999999999999,3.218650817871094e-05,0.6016260162601627,0.1012396694214876,3.218650817871094e-05,,7.607994847395202,7.793700962516553,1.104930444808044,110.4930429555644,338.2955410052091,1,0.01,64,,,,,,,,,,,,False,False,,
10,13,5210,2,7.155155852909528e-05,1.0,4.5190057041027635e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09710743801652892,1.0,7.939338684082031e-05,0.6115702479338843,0.09710743801652892,7.939338684082031e-05,,7.623162835832531,7.656062724294804,0.11656843369425149,11.656843241917848,333.937874995172,1,0.01,64,,,,,,,,,,,,False,False,,
10,14,5210,2,6.678236690384117e-05,1.0,3.933765722596196e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09400826446280992,0.9999999999999999,7.998943328857422e-05,0.6192468619246861,0.09400826446280992,7.998943328857422e-05,,7.638616390265727,7.662159519435015,0.06974229435736692,6.974229373370413,333.13754200935364,1,0.01,64,,,,,,,,,,,,False,False,,
10,15,5210,2,5.977475516641896e-05,1.0,4.10950201245107e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.08884297520661157,0.9999999999999999,8.821487426757812e-05,0.6324786324786325,0.08884297520661157,8.821487426757812e-05,,7.652808947343682,7.672341453469243,0.09513606525754557,9.513606915676045,345.8114580134861,1,0.01,64,,,,,,,,,,,,False,False,,
10,16,5210,2,5.125436912160641e-05,1.0,2.7964972319108818e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.09504132231404959,0.9999999999999998,5.507469177246094e-05,0.6166666666666667,0.09504132231404959,5.507469177246094e-05,,7.666029426902447,7.690316698970018,0.11452034574918546,11.452034566577778,323.61525000305846,1,0.01,64,,,,,,,,,,,,False,False,,
10,17,5210,2,4.5045086474548205e-05,1.0,3.498227905605317e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.11570247933884298,1.0,5.4836273193359375e-05,0.5692307692307692,0.11570247933884298,5.4836273193359375e-05,,7.6787905496688325,7.697324785974593,0.05859609675832083,5.859609621595814,355.8802919869777,1,0.01,64,,,,,,,,,,,,False,False,,
10,18,5210,2,4.1488641941481654e-05,1.0,2.247205028491889e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.10020661157024793,0.9999999999999999,4.1484832763671875e-05,0.6040816326530613,0.10020661157024793,4.1484832763671875e-05,,7.686776289708527,7.705981472133108,0.09125951663494714,9.125951510783304,335.2716249937657,1,0.01,64,,,,,,,,,,,,False,False,,
10,19,5210,2,4.5188303963240125e-05,1.0,1.9258252076029105e-05,1.0,1.0,1.0,1.0,0.0,"{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}","{""0"": 1.0, ""1"": 1.0}",0.0981404958677686,1.0,2.3603439331054688e-05,0.6090534979423868,0.0981404958677686,2.3603439331054688e-05,,7.697027644127932,7.820689241821777,0.8262209994622903,82.62210088598198,344.9874999932945,1,0.01,64,,,,,,,,,,,,False,False,,
