client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size
2,1,824,2,0.6972284515698751,0.3696969696969697,0.2645145058631897,0.8909090909090909,5.729227539934811,6.456398757273745,3.0182613903993007,301.8261392512955,1375.7417500019073,1,0.01,64
2,2,824,2,0.050143582125504814,1.0,0.012373685215910276,0.9939393939393939,6.43035512658589,7.0026015700995945,1.7938420876869505,179.38421481383227,52.44837497593835,1,0.01,64
2,3,824,2,0.0029016342014074326,1.0,0.025038448239987094,0.9878787878787879,6.875902345351893,7.076724764708557,1.4661744784162996,146.61744787973913,50.5520420265384,1,0.01,64
2,4,824,2,0.00046473569818772376,1.0,0.0004869859500710542,1.0,7.214500706174085,7.230162447640106,0.6698752884838076,66.98752898542884,53.49220801144838,1,0.01,64
2,5,824,2,0.04084293074265588,0.9878787878787879,0.0017554375614660482,1.0,7.361972265990326,7.433644483496394,0.8406914861968343,84.06914874739772,52.56074998760596,1,0.01,64
2,6,824,2,0.0009106851066462696,1.0,0.007143537484807894,0.9939393939393939,7.531264896200018,7.520519268471493,0.6188264940778169,61.88265267259869,52.659999986644834,1,0.01,64
2,7,824,2,0.0002499465917935595,1.0,0.0028418192717557154,1.0,7.623408870228876,7.596093374493794,0.5159319222444502,51.59319328224935,51.9433330046013,1,0.01,64
2,8,824,2,0.0001626322822024425,1.0,0.000881078195864878,1.0,7.6483202244356425,7.593291766759922,0.42866462846940895,42.8664660795453,54.58479200024158,1,0.01,64
2,9,824,2,0.0017268734033374737,1.0,0.00029097745815912884,1.0,7.702121914982006,7.640132862850008,0.47262188344790823,47.262187990746746,54.155874997377396,1,0.01,64
2,10,824,2,0.00011092723192026217,1.0,0.00044116431672591716,1.0,7.72711201527515,7.660491348554771,0.4619851211800616,46.198512830152566,54.17608399875462,1,0.01,64
2,11,824,2,0.0002826294900539021,1.0,0.004851414889950926,0.9939393939393939,7.729929639205672,7.703315994127239,0.49750274646693865,49.75027362290573,50.61558302259073,1,0.01,64
2,12,824,2,8.040483953664079e-05,1.0,5.855014630166503e-05,1.0,7.8877731060590275,7.82646144438815,0.36795664945624984,36.79566567938418,50.30433303909376,1,0.01,64
2,13,824,2,0.00016395869048816772,1.0,2.8996087015305722e-05,1.0,7.937888206822093,7.949792862763793,0.5096607834650648,50.966077831580876,51.59666697727516,1,0.01,64
2,14,824,2,0.0010687823972451345,1.0,0.0006438680223557943,1.0,8.054553527531858,8.002753415822664,0.4762247061981713,47.6224714828397,52.92579100932926,1,0.01,64
2,15,824,2,0.00028817888475411263,1.0,0.0008097654184287725,1.0,8.106050201150797,8.07224981194292,0.4446713808396843,44.46713850113229,53.42529102927074,1,0.01,64
2,16,824,2,0.00016426497313659638,1.0,4.4194189589082576e-05,1.0,8.17794677945048,8.108805545481681,0.3744830172851988,37.44830287005572,53.88149997452274,1,0.01,64
2,17,824,2,0.00014970857228036039,1.0,9.084863874401587e-05,1.0,8.188543696347244,8.135331003478475,0.3856842720716314,38.56842777947176,53.36087505565956,1,0.01,64
2,18,824,2,4.93079442094313e-05,1.0,8.048664767557057e-05,1.0,8.313374264532564,8.270737368597873,0.3681658003586447,36.816578980705955,55.23774999892339,1,0.01,64
2,19,824,2,3.19919108733302e-05,1.0,7.295681007235544e-05,1.0,8.3513029917302,8.303319466219154,0.42065191468888824,42.0651937446907,50.168166984803975,1,0.01,64
2,20,824,2,0.0001357545861537801,1.0,1.987981886486523e-05,1.0,8.415256255287447,8.332711859516806,0.3662532836352302,36.625330532099255,55.51166599616408,1,0.01,64
