client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size
9,1,4345,2,0.7571198897702354,0.19332566168009205,0.02174414208691035,0.9953970080552359,5.744162299729136,6.9243368758190975,3.5362781977995152,353.6278231721483,4144.621875020675,1,0.01,64
9,2,4345,2,0.02250814624130726,0.998849252013809,0.029274789350373403,0.9919447640966629,6.563218146721101,7.086269860585092,1.5618801000749696,156.18801107395507,534.2571669607423,1,0.01,64
9,3,4345,2,0.002825891041928636,1.0,0.009895744858243103,0.997698504027618,7.013142560203923,7.276285363805879,1.3400298515361044,134.00298482146928,417.5621250178665,1,0.01,64
9,4,4345,2,0.0019047415948339871,0.998849252013809,0.011850108089025266,0.998849252013809,7.223414146638087,7.783034391979332,1.8111079871296494,181.11079532164104,473.4914159635082,1,0.01,64
9,5,4345,2,0.0004979757899751089,1.0,0.000894880121839898,1.0,7.420267003189603,7.598077212245609,0.9089404638365655,90.89404816359318,351.004957978148,1,0.01,64
9,6,4345,2,0.00013920654704894071,1.0,0.006580907114507032,0.998849252013809,7.56696007079816,7.72043884099078,1.0977646571169866,109.77647061562863,317.96445802319795,1,0.01,64
9,7,4345,2,0.00010885202365378583,1.0,6.517676670877595e-05,1.0,7.608212893866029,7.621886013229503,0.11533560824855645,11.533561089860978,494.89966698456556,1,0.01,64
9,8,4345,2,8.006132260821428e-05,1.0,7.319383699463547e-05,1.0,7.640799214223856,7.691473214210086,0.3680381068510721,36.80381018953967,458.5654580150731,1,0.01,64
9,9,4345,2,6.429568254264138e-05,1.0,4.495974670654894e-05,1.0,7.678401620595592,7.683161408711962,0.08401848900168013,8.401849170850276,442.14162504067644,1,0.01,64
9,10,4345,2,5.799575332535564e-05,1.0,0.00022704096123301757,1.0,7.751200962651283,7.8089977859268185,0.4862441593693155,48.624417417953914,426.94787500659004,1,0.01,64
9,11,4345,2,4.181108852208126e-05,1.0,3.670823818018627e-05,1.0,7.786013311514241,7.780018210100164,0.05790787767470825,5.790787530961492,316.33304205024615,1,0.01,64
9,12,4345,2,3.748737682534349e-05,1.0,3.3184048204150584e-05,1.0,7.8066047178983515,7.822666687512213,0.1985931815617415,19.85931750333493,339.36495799571276,1,0.01,64
9,13,4345,2,3.358002946437669e-05,1.0,2.8941045457031578e-05,1.0,7.831235920390315,7.836666292926352,0.14901042750994117,14.901043256457111,570.1260829810053,1,0.01,64
9,14,4345,2,5.7644330289414416e-05,1.0,6.875507876559692e-05,1.0,7.920231996290054,8.00150763566036,0.5509805980061717,55.09806092294248,486.6960409563035,1,0.01,64
9,15,4345,2,3.792100934723359e-05,1.0,9.287699659970323e-05,1.0,7.958526625546296,8.063257546376628,0.8577607394809351,85.7760756121922,340.2815000154078,1,0.01,64
9,16,4345,2,3.2813193813905984e-05,1.0,2.7298458657501863e-05,1.0,7.978999313251389,7.975340832311333,0.05385172535865884,5.3851724598240915,355.89075001189485,1,0.01,64
9,17,4345,2,3.159824752531547e-05,1.0,2.367540050077618e-05,1.0,7.990656342014166,7.988257677188033,0.08379304205572836,8.379304686100726,330.9481669566594,1,0.01,64
9,18,4345,2,4.3725091537843195e-05,1.0,0.0002714122064000029,1.0,8.017941689466515,8.049886703767566,0.5407290485084161,54.072907035982084,310.63887500204146,1,0.01,64
9,19,4345,2,3.357332401979615e-05,1.0,0.0025256872777390527,0.998849252013809,8.07858934626603,8.141892746308422,0.6922444779058321,69.22445285976279,431.8806660012342,1,0.01,64
9,20,4345,2,2.6893527709554682e-05,1.0,0.00036956099834891835,1.0,8.101788438572797,8.139446904571422,1.007600573560171,100.76005663505589,516.2877080147155,1,0.01,64
