client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,macro_f1_argmax,benign_fpr_argmax,f1_per_class_after,precision_per_class,recall_per_class,confusion_matrix_counts,confusion_matrix_normalized,confusion_matrix_class_names,fpr_after,pr_auc_after,threshold_tau,f1_bin_tau,benign_fpr_bin_tau,tau_bin,seed,weight_norm_before,weight_norm_after,weight_update_norm,grad_norm_l2,t_fit_ms,epochs_completed,lr,batch_size,macro_f1_global,macro_f1_personalized,benign_fpr_global,benign_fpr_personalized,personalization_gain,dp_epsilon,dp_delta,dp_sigma,dp_clip_norm,dp_sample_rate,dp_total_steps,dp_enabled,secure_aggregation,secure_aggregation_seed,secure_aggregation_mask_checksum
4,1,28601,2,0.7204754518138038,0.4469498339451145,0.011093684285879136,0.998077259220416,0.3088910364822421,0.9980561628126967,0.9980561628126967,0.0,"{""0"": 0.9978536585365854, ""1"": 0.998258667088808}","{""0"": 0.9957165109034268, ""1"": 1.0}","{""0"": 1.0, ""1"": 0.9965233881163085}","[[2557.0, 0.0], [11.0, 3153.0]]","[[1.0, 0.0], [0.00347661188369153, 0.9965233881163085]]","[""0"", ""1""]",0.09073132577238952,0.9999929463127246,0.01997596025466919,0.9646341463414634,0.09073132577238952,0.01997596025466919,,5.732780216590892,86.58992353186255,86.38402556154739,8638.403035529307,2755.9321250009816,1,0.01,64,,,,,,7.162778443058905,1e-05,0.7,1.0,1.0,1,True,False,,
4,2,28601,2,60.8420223236084,0.5530501660548856,0.243269677892614,0.9889879391714735,0.3561057962858751,0.9888654689406723,0.9888654689406723,0.010950332420805675,"{""0"": 0.9876977152899824, ""1"": 0.9900332225913622}","{""0"": 0.9863494539781591, ""1"": 0.991130820399113}","{""0"": 0.9890496675791943, ""1"": 0.9889380530973452}","[[2529.0, 28.0], [35.0, 3129.0]]","[[0.9890496675791943, 0.010950332420805632], [0.011061946902654867, 0.9889380530973452]]","[""0"", ""1""]",0.09229565897536175,0.9936552726725723,4.76837158203125e-06,0.9626239511823036,0.09229565897536175,4.76837158203125e-06,,86.58814971848624,122.6697938057667,86.34296972727822,8634.296986505147,3916.2524999992456,1,0.01,64,,,,,,10.860203573969255,1e-05,0.7,1.0,1.0,2,True,False,,
4,3,28601,2,150.89186138576932,0.5551477014507953,1.355011379639393,0.9833945114490473,0.36196383890104517,0.9832303722197375,0.9832303722197375,0.010559249120062564,"{""0"": 0.9815712900096993, ""1"": 0.9848894544297757}","{""0"": 0.9738260200153964, ""1"": 0.9913544668587896}","{""0"": 0.9894407508799374, ""1"": 0.9785082174462706}","[[2530.0, 27.0], [68.0, 3096.0]]","[[0.9894407508799374, 0.010559249120062574], [0.021491782553729456, 0.9785082174462706]]","[""0"", ""1""]",0.014078998826750098,0.9892249131414041,1.1920928955078125e-07,0.9873417721518988,0.014078998826750098,1.1920928955078125e-07,,122.66801528193639,148.90601461177766,85.6015487054485,8560.155128481576,1842.36312500434,1,0.01,64,,,,,,13.953654734587905,1e-05,0.7,1.0,1.0,3,True,False,,
4,4,28601,2,166.88082682291667,0.5565460583814018,0.22674565282766165,0.9956301345918546,0.3880480332165197,0.9955798830332439,0.9955798830332439,0.005475166210402782,"{""0"": 0.9951085893171591, ""1"": 0.9960511767493287}","{""0"": 0.9956930305403289, ""1"": 0.9955794126934007}","{""0"": 0.9945248337895972, ""1"": 0.9965233881163085}","[[2543.0, 14.0], [11.0, 3153.0]]","[[0.9945248337895972, 0.005475166210402816], [0.00347661188369153, 0.9965233881163085]]","[""0"", ""1""]",0.008603832616347283,0.9950376850395822,1.1920928955078125e-07,0.9955863808322825,0.008603832616347283,1.1920928955078125e-07,,148.90590593472385,172.2241987485378,85.618507268567,8561.850845260293,2053.266374990926,1,0.01,64,,,,,,16.72512084464173,1e-05,0.7,1.0,1.0,4,True,False,,
4,5,28601,2,81.90694484710693,0.6369515818912778,1.1075692108891064,0.9919594476490124,0.6092211187030467,0.9918785451089069,0.9918785451089069,0.001955416503715335,"{""0"": 0.9910679611650486, ""1"": 0.9926891290527654}","{""0"": 0.9841881989973005, ""1"": 0.9984015345268542}","{""0"": 0.9980445834962847, ""1"": 0.9870417193426043}","[[2552.0, 5.0], [41.0, 3123.0]]","[[0.9980445834962847, 0.0019554165037152915], [0.012958280657395701, 0.9870417193426043]]","[""0"", ""1""]",0.003910833007430583,0.9944828964881536,1.1920928955078125e-07,0.9936588459099556,0.003910833007430583,1.1920928955078125e-07,,172.22591877308923,192.66953347626844,85.99104250165274,8599.104559266121,1818.1635410001036,1,0.01,64,,,,,,19.304084835319795,1e-05,0.7,1.0,1.0,5,True,False,,
4,6,28601,2,155.76926667955186,0.549729068344695,1.0772109562286762,0.9926586261143157,0.535800447023664,0.9925778026870923,0.9925778026870923,0.006257332811888894,"{""0"": 0.9918032786885246, ""1"": 0.99335232668566}","{""0"": 0.9898714452668484, ""1"": 0.9949270767279645}","{""0"": 0.9937426671881111, ""1"": 0.9917825537294563}","[[2541.0, 16.0], [26.0, 3138.0]]","[[0.9937426671881111, 0.006257332811888932], [0.008217446270543615, 0.9917825537294563]]","[""0"", ""1""]",0.007039499413375049,0.9947718894605906,2.384185791015625e-07,0.9941520467836257,0.007039499413375049,2.384185791015625e-07,,192.6711154118749,211.33481258958662,86.17114753210731,8617.11496194254,1722.0123750012135,1,0.01,64,,,,,,21.72648498077448,1e-05,0.7,1.0,1.0,6,True,False,,
4,7,28601,2,162.4084715101454,0.4927460234224786,1.5205474241976724,0.9877643768571928,0.46408639361394716,0.9876498169383807,0.9876498169383807,0.0027375831052014465,"{""0"": 0.9864603481624759, ""1"": 0.9888392857142857}","{""0"": 0.9758897818599311, ""1"": 0.9977477477477478}","{""0"": 0.9972624168947986, ""1"": 0.9800884955752213}","[[2550.0, 7.0], [63.0, 3101.0]]","[[0.9972624168947986, 0.002737583105201408], [0.01991150442477876, 0.9800884955752213]]","[""0"", ""1""]",0.002737583105201408,0.9912739828411868,0.002833425998687744,0.9904489016236867,0.002737583105201408,0.002833425998687744,,211.33584238172702,227.95431249733994,86.05800771866518,8605.800828448551,1842.9082920047222,1,0.01,64,,,,,,24.0452066645537,1e-05,0.7,1.0,1.0,7,True,False,,
4,8,28601,2,243.48428802490236,0.5962244362873623,1.6963192533148579,0.9926586261143157,0.5437005133559558,0.9925783492221478,0.9925783492221478,0.0058662495111458934,"{""0"": 0.9918064767850175, ""1"": 0.993350221659278}","{""0"": 0.9894900739587388, ""1"": 0.995241116751269}","{""0"": 0.9941337504888541, ""1"": 0.9914664981036663}","[[2542.0, 15.0], [27.0, 3137.0]]","[[0.9941337504888541, 0.005866249511145874], [0.008533501896333754, 0.9914664981036663]]","[""0"", ""1""]",0.005866249511145874,0.9929970020053832,0.990067720413208,0.993350221659278,0.005866249511145874,0.990067720413208,,227.95906276815109,242.67485921777453,85.16527645460435,8516.527627122661,2024.877292002202,1,0.01,64,,,,,,26.288037359969227,1e-05,0.7,1.0,1.0,8,True,False,,
4,9,28601,2,260.0646151224772,0.4792868379653907,1.071900684927494,0.9909106799510575,0.42471744576078263,0.990806503052014,0.990806503052014,0.010559249120062564,"{""0"": 0.9898278560250391, ""1"": 0.9917851500789889}","{""0"": 0.9902152641878669, ""1"": 0.9914718888186986}","{""0"": 0.9894407508799374, ""1"": 0.9920986093552465}","[[2530.0, 27.0], [25.0, 3139.0]]","[[0.9894407508799374, 0.010559249120062574], [0.007901390644753476, 0.9920986093552465]]","[""0"", ""1""]",0.012514665623777864,0.9891801238392016,3.5762786865234375e-07,0.9916390597886102,0.012514665623777864,3.5762786865234375e-07,,242.67661668599123,256.85755454733516,86.17258240296142,8617.258193563433,1813.3454170019832,1,0.01,64,,,,,,28.430894502826373,1e-05,0.7,1.0,1.0,9,True,False,,
4,10,28601,2,569.7342329237197,0.41828351686768045,1.1061933345780206,0.9938821884285964,0.37110171672708303,0.9938118362465413,0.9938118362465413,0.007430582714118117,"{""0"": 0.9931520250440227, ""1"": 0.9944716474490601}","{""0"": 0.9937353171495693, ""1"": 0.9940006315124724}","{""0"": 0.9925694172858819, ""1"": 0.9949431099873578}","[[2538.0, 19.0], [16.0, 3148.0]]","[[0.9925694172858819, 0.007430582714118107], [0.0050568900126422255, 0.9949431099873578]]","[""0"", ""1""]",0.007821666014861166,0.9923581262480573,0.00022011995315551758,0.9944733933364914,0.007821666014861166,0.00022011995315551758,,256.85737509395324,271.1139508139831,85.4239963695815,8542.399789066887,1805.5391250090906,1,0.01,64,,,,,,30.53479436915647,1e-05,0.7,1.0,1.0,10,True,False,,
