aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,0.8160233744749469,0.7621790288326007,0.8698677201172931,5,0.0
fedavg,0.1,0.5739655490219396,0.21609422985188176,0.9318368681919975,5,29.66309949255489
fedavg,0.3,0.43606872027953625,0.1302048573037276,0.741932583255345,5,46.56173659729839
krum,0.0,0.7574504807051551,0.7333947226785037,0.7815062387318065,5,0.0
krum,0.1,0.6880377881342271,0.645138621039264,0.7309369552291902,5,9.163990827005302
krum,0.3,0.5830403464986623,0.5585635989319947,0.6075170940653299,5,23.025945411523686
bulyan,0.0,0.8014797356790682,0.7564000324915536,0.8465594388665827,5,0.0
bulyan,0.1,0.7298425301640106,0.6928830766249127,0.7668019837031085,5,8.938118124017405
bulyan,0.3,0.6080670464424047,0.5229049022305953,0.6932291906542142,5,24.131950020269826
median,0.0,0.810195162408583,0.7509991289929904,0.8693911958241757,5,0.0
median,0.1,0.7308810078456875,0.6779798401931052,0.7837821754982699,5,9.789512236423006
median,0.3,0.6041006520180063,0.5410367155276147,0.667164588508398,5,25.437637738775194
