alpha,fedavg_mean,fedavg_ci,fedprox_mean,fedprox_ci,best_mu,delta,p_value,cohens_d,winner
0.02,0.3877648400046598,"(0.328, 0.448)",0.4284173597532771,"(0.283, 0.574)",0.05,0.04065251974861728,0.4495075441626354,0.4617952087768896,FedProx
0.05,0.501324791464802,"(0.457, 0.545)",0.5810783714015514,"(0.488, 0.674)",0.1,0.07975357993674936,0.04477712408873641,1.3541381318274528,FedProx
0.1,0.5817113505060931,"(0.544, 0.620)",0.6403678469214245,"(0.538, 0.743)",0.02,0.05865649641533133,0.12240178466596709,0.9754248219498861,FedProx
0.2,0.7111171870840131,"(0.684, 0.739)",0.7331493147834584,"(0.678, 0.788)",0.002,0.022032127699445292,0.323755608965426,0.621897943500349,FedProx
0.5,0.7691542779945392,"(0.754, 0.785)",0.7672411744270397,"(0.736, 0.798)",0.005,-0.001913103567499519,0.8764237261879677,-0.09593621967620755,FedAvg
1.0,0.7998570942553151,"(0.786, 0.814)",0.7942859458436397,"(0.739, 0.849)",0.5,-0.005571148411675497,0.6895910654149864,-0.2949513070906376,FedAvg
