client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,weight_norm_before,weight_norm_after,weight_update_norm,t_fit_ms,epochs_completed,lr,batch_size
1,1,1000,2,0.6730349063873291,0.675,0.03260991518618539,0.985,5.812872900652865,7.354375801145648,3.9163011408929527,872.5357500006794,1,0.01,64
1,2,1000,2,0.03260991518618539,0.985,0.04645497247111052,0.985,7.354375801145648,7.5806611359554505,1.500534513046936,79.70187499995518,1,0.01,64
1,3,1000,2,0.04645497247111052,0.985,0.015978783059836132,0.99,7.5806611359554505,7.748211892465586,1.5043384863632587,80.29225000063889,1,0.01,64
1,4,1000,2,0.015978783059836132,0.99,0.022956385588258854,0.985,7.748211892465586,8.007247850002853,1.3015398847744948,82.10408299964911,1,0.01,64
1,5,1000,2,0.022956385588258854,0.985,0.030062590101806563,0.98,8.007247850002853,8.246868087164913,1.0260096707145634,85.7291249994887,1,0.01,64
