round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,6,,4.766271039260353e-07,0.9999999403953552,1.7845296537083721,6.858184973398845,0.048655322585847004,0.1314999972237274,3112.3572080105077,0.915715738137563,0.012928832831335679,1.8109608888626099,0.17257237102925932
2,fedavg,6,,5.08685066383997e-07,1.0,2.1493963115297863,7.316108147303264,0.16237382793272664,0.11125000310130417,1404.368292001891,0.9463788787523906,0.016173356607142312,1.5301554004351299,0.3071053621184046
3,fedavg,6,,5.202929833348434e-07,1.0,2.9122993233381984,7.373143116633098,0.09316094413752213,0.10641700646374375,1330.764583995915,0.984053619702657,0.006775824145231414,0.8264389137427012,0.2283295500050333
4,fedavg,6,,5.434706630559925e-07,0.9999999403953552,2.9255672018044314,7.766287803649902,0.45082117294042096,0.10812500840984285,1390.3150830010418,0.9573932766914368,0.027188764043132717,1.437311202287674,0.6113653338694949
5,fedavg,6,,5.227197226564949e-07,1.0,3.9737296006368585,7.868480523427327,0.2134065685517899,0.10479200864210725,1371.9499159924453,0.9733589053153991,0.01796942769713925,1.1058086852232616,0.4750764200084404
6,fedavg,6,,5.576605056549561e-07,0.9999998807907104,4.000265357569325,7.91387939453125,0.13129894537788253,0.13050000416114926,1365.079750001314,0.9884507934252421,0.007978511058107155,0.7121220082044601,0.3485531182484437
7,fedavg,6,,5.460650876535665e-07,0.9999999403953552,4.079872628366724,7.956844011942546,0.0710684073410512,0.10216700320597738,1359.4954169966513,0.9923093954722086,0.00851824524064346,0.5366680373748144,0.356903361880025
8,fedavg,6,,6.275978195480829e-07,1.0,4.922382910972535,8.118795156478882,0.16569687033229524,0.09800000407267362,1310.1273749925895,0.9790749788284302,0.015289755280255562,0.9767524798711141,0.49101903257954527
9,fedavg,6,,6.083031422798691e-07,1.0,5.134668966432267,8.10154104232788,0.027637950870143875,0.09912499808706343,1339.6543330018176,0.9955666343371073,0.003412534797289169,0.44336016724507016,0.21762400281652805
10,fedavg,6,,5.759767671124074e-07,1.0,5.592410773517314,8.194629828135172,0.18231726581178084,0.10754200047813356,1342.3509580024984,0.989865763982137,0.012190057623121472,0.6386725604534149,0.45977325153954846
11,fedavg,6,,5.973210605009157e-07,0.9999998807907104,4.451373225421255,8.325623194376627,0.1260729030774484,0.09729199518915266,1370.251416999963,0.980899965763092,0.010606598533313801,0.991728295882543,0.3829631538683125
12,fedavg,6,,5.902223005569898e-07,1.0,4.464641103887488,8.492876529693604,0.2968042409948805,0.10041700443252921,1277.5150410016067,0.9774642785390218,0.022280257806519585,1.0534226596355438,0.6242252646126261
13,fedavg,6,,6.270207051819554e-07,1.0,4.968820485604352,8.541492780049643,0.12838719457396128,0.09649999265093356,1410.3279159899103,0.9863321344057719,0.010907919493098089,0.8312957684199015,0.41042065917906423
14,fedavg,6,,6.414697569173126e-07,1.0,5.2673477510946,8.534660816192627,0.03348532292914515,0.10058299812953919,1324.6111659973394,0.997041118144989,0.0024955073221144338,0.378991462290287,0.1945127468021061
15,fedavg,6,,6.143589634796151e-07,1.0,4.749900490911503,8.63456662495931,0.15326284582930808,0.10037500760518014,1357.477249999647,0.9897960782051086,0.00930766735829934,0.7196912268797556,0.39026183102496265
16,fedavg,6,,6.618579327374844e-07,1.0,5.081597452567334,8.708995819091797,0.09731428532685178,0.09716700878925622,1315.7559160026722,0.9859673579533895,0.009856465485366197,0.8632433662811915,0.39825669966443566
17,fedavg,6,,6.070908698827911e-07,1.0,6.0368847021361285,8.694577058156332,0.033373017236486356,0.0992499990388751,1333.6842499993509,0.9966568032900492,0.0026541518493960544,0.4063856974244118,0.2176683823623044
18,fedavg,6,,5.773347086984284e-07,1.0,5.360222900358233,8.857686360677084,0.1321085512067597,0.09866700565908104,1266.7361660132883,0.9825451294581096,0.009609562680515719,1.0072069366772969,0.3941168091541404
19,fedavg,6,,6.505117298002035e-07,1.0,5.4398301711556325,8.920907656351725,0.13351257614708234,0.09920798765961081,1647.1544160012854,0.9870371063550313,0.009334238162606704,0.8381415059169134,0.4315331282873748
20,fedavg,6,,6.492016047900063e-07,0.9999998807907104,6.315510149927027,8.90509589513143,0.02981822886573497,0.12154200521763414,2182.5225409993436,0.9986306508382161,0.0007808356237792733,0.28478315472602844,0.10238723829511992
